Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-19,16:55:15.3389,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:23.5713,Continuous,KeyDown,1,1,0,1,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:23.8560,Continuous,KeyDown,1,1,0,1,w,Failed,T,0,2918917,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:24.2600,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,40299,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:24.5163,Continuous,KeyDown,1,1,0,1,r,Correct,R,0,2571915,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:24.8763,Continuous,KeyDown,1,1,0,1,e,Failed,W,0,3612841,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:24.8773,Continuous,Sequence Failed,1,1,0,1,NA,NA,NA,NA,1,313357,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:25.4324,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:25.7869,Continuous,KeyDown,1,1,0,1,w,Failed,R,0,3543848,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:25.7869,Continuous,Sequence Failed,1,1,0,1,NA,NA,NA,NA,0,3543848,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:26.3978,Continuous,KeyDown,1,1,0,1,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:26.7180,Continuous,KeyDown,1,1,0,1,w,Failed,T,0,3196733,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:26.9124,Continuous,KeyDown,1,1,0,1,e,Failed,T,0,1945901,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:26.9124,Continuous,Sequence Failed,1,1,0,1,NA,NA,NA,NA,0,5142634,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:27.2191,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:27.5034,Continuous,KeyDown,1,1,0,1,w,Failed,R,0,2848749,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:27.5034,Continuous,Sequence Failed,1,1,0,1,NA,NA,NA,NA,0,2848749,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:28.0455,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:28.2604,Continuous,KeyDown,1,1,0,1,r,Correct,R,0,2154062,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:28.5736,Continuous,KeyDown,1,1,0,1,w,Correct,W,0,3126764,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:28.8448,Continuous,KeyDown,1,1,0,1,e,Correct,E,0,2710453,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:28.8448,Continuous,Sequence Success,1,1,0,1,NA,NA,NA,NA,0,7991278,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:29.1919,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:29.4069,Continuous,KeyDown,1,1,0,1,r,Correct,R,0,2154371,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:29.6577,Continuous,KeyDown,1,1,0,1,w,Correct,W,0,250109,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:29.7684,Continuous,Sequence Failed,1,1,0,1,NA,NA,NA,NA,0,5767773,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:56:29.7694,Continuous,InputWindowOver,1,1,0,1,NA,NA,NA,NA,NA,1,5,0,6,Fish Escaped,NA,NA,
