Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-19,17:08:17.5906,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:09:01.1044,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:09:01.2754,Discrete,KeyDown,1,0,0,1,r,Correct,R,0,1805977,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:09:01.4699,Discrete,KeyDown,1,0,0,1,w,Correct,W,0,194591,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:09:01.6440,Discrete,KeyDown,1,0,0,1,e,Correct,E,0,1738412,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:09:01.6450,Discrete,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,5490299,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:09:03.8062,Discrete,InputWindowOver,1,0,1,1,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,17:09:30.5929,Discrete,KeyDown,1,1,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:09:30.8353,Discrete,KeyDown,1,1,1,2,w,Failed,R,0,243183,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:09:30.8353,Discrete,Sequence Failed,1,1,1,2,NA,NA,NA,NA,0,243183,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:09:31.0238,Discrete,KeyDown,1,1,1,2,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:09:33.4214,Discrete,InputWindowOver,1,1,1,2,NA,NA,NA,NA,NA,0,1,0,1,Fish Escaped,NA,NA,
2020-05-19,17:09:57.5132,Discrete,KeyDown,1,0,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:09:57.8179,Discrete,KeyDown,1,0,1,3,r,Correct,R,0,3057454,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:09:58.0962,Discrete,KeyDown,1,0,1,3,w,Correct,W,0,2779176,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:09:58.3605,Discrete,KeyDown,1,0,1,3,e,Correct,E,0,2640451,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:09:58.3605,Discrete,Sequence Success,1,0,1,3,NA,NA,NA,NA,0,847708,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:00.3612,Discrete,InputWindowOver,1,0,2,3,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,17:10:18.7973,Discrete,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:19.1579,Discrete,KeyDown,1,1,2,4,r,Correct,R,0,3612916,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:19.4018,Discrete,KeyDown,1,1,2,4,w,Correct,W,0,2432263,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:19.5818,Discrete,KeyDown,1,1,2,4,e,Correct,E,0,1806834,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:19.5818,Discrete,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,7852014,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:21.6598,Discrete,InputWindowOver,1,1,3,4,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,17:10:42.8960,Discrete,KeyDown,1,1,3,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:43.1523,Discrete,KeyDown,1,1,3,5,r,Correct,R,0,2573825,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:43.3468,Discrete,KeyDown,1,1,3,5,w,Correct,W,0,1943384,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:43.5353,Discrete,KeyDown,1,1,3,5,e,Correct,E,0,1876432,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:43.5353,Discrete,Sequence Success,1,1,3,5,NA,NA,NA,NA,0,6393641,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:44.4589,Discrete,KeyDown,1,1,3,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:44.6254,Discrete,KeyDown,1,1,3,5,r,Correct,R,0,1667686,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:44.8967,Discrete,KeyDown,1,1,3,5,w,Correct,W,0,2709802,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:45.0912,Discrete,KeyDown,1,1,3,5,e,Correct,E,0,194597,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:45.0912,Discrete,Sequence Success,1,1,3,5,NA,NA,NA,NA,0,6323457,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:45.4732,Discrete,KeyDown,1,1,3,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:45.6198,Discrete,KeyDown,1,1,3,5,r,Correct,R,0,145841,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:45.7789,Discrete,Sequence Failed,1,1,3,5,NA,NA,NA,NA,0,3056827,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:10:45.7799,Discrete,InputWindowOver,1,1,3,5,NA,NA,NA,NA,NA,2,1,2,3,Fish Escaped,NA,NA,
2020-05-19,17:11:05.1262,Discrete,KeyDown,1,1,3,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:11:05.3825,Discrete,KeyDown,1,1,3,6,r,Correct,R,0,2570682,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:11:05.6253,Discrete,KeyDown,1,1,3,6,w,Correct,W,0,2432475,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:11:05.8129,Discrete,KeyDown,1,1,3,6,e,Correct,E,0,1876541,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:11:05.8129,Discrete,Sequence Success,1,1,3,6,NA,NA,NA,NA,0,6879699,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:11:07.7597,Discrete,InputWindowOver,1,1,4,6,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,17:11:30.1624,Discrete,Frustration Questionnaire,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,
2020-05-19,17:11:50.8847,Discrete,KeyDown,2,3,4,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:11:51.1261,Discrete,KeyDown,2,3,4,7,r,Correct,R,0,2431816,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:11:51.3345,Discrete,KeyDown,2,3,4,7,w,Correct,W,0,2084952,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:11:51.5020,Discrete,KeyDown,2,3,4,7,e,Correct,E,0,1668545,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:11:51.5020,Discrete,Sequence Success,2,3,4,7,NA,NA,NA,NA,0,6185313,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:11:53.6005,Discrete,InputWindowOver,2,3,5,7,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,17:12:15.0872,Discrete,KeyDown,2,2,5,8,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:12:15.3789,Discrete,KeyDown,2,2,5,8,r,Correct,R,0,2914652,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:12:15.6217,Discrete,KeyDown,2,2,5,8,w,Correct,W,0,2432217,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:12:15.8162,Discrete,KeyDown,2,2,5,8,e,Correct,E,0,1946079,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:12:15.8162,Discrete,Sequence Success,2,2,5,8,NA,NA,NA,NA,0,7292948,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:12:16.5114,Discrete,KeyDown,2,2,5,8,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:12:16.7198,Discrete,KeyDown,2,2,5,8,r,Correct,R,0,2082303,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:12:16.9412,Discrete,KeyDown,2,2,5,8,w,Correct,W,0,2222021,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:12:17.1223,Discrete,KeyDown,2,2,5,8,e,Correct,E,0,180649,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:12:17.1223,Discrete,Sequence Success,2,2,5,8,NA,NA,NA,NA,0,6110814,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:12:17.5736,Discrete,KeyDown,2,2,5,8,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:12:17.7402,Discrete,KeyDown,2,2,5,8,r,Correct,R,0,1667295,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:12:17.9217,Discrete,KeyDown,2,2,5,8,w,Correct,W,0,1806755,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:12:18.0812,Discrete,Sequence Failed,2,2,5,8,NA,NA,NA,NA,0,507209,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,17:12:18.0812,Discrete,InputWindowOver,2,2,5,8,NA,NA,NA,NA,NA,2,1,2,3,Fish Escaped,NA,NA,
