Date,Timestamp,Participant,ConditionOrder,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
19/05/2020,03:45.4,1,1,Discrete,KeyDown,1,0,2,5,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,03:46.0,1,1,Discrete,InputWindowOver,1,0,2,5,NA,NA,NA,NA,NA,0,4,0,4,Fish Escaped,NA,NA
19/05/2020,04:06.9,1,1,Discrete,KeyDown,1,1,2,6,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:07.2,1,1,Discrete,KeyDown,1,1,2,6,w,Failed,T,0,2500424,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:07.5,1,1,Discrete,KeyDown,1,1,2,6,e,Failed,T,0,3338962,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:07.5,1,1,Discrete,Sequence Failed,1,1,2,6,NA,NA,NA,NA,0,5839387,NA,NA,NA,NA,NA,NA
19/05/2020,04:08.2,1,1,Discrete,KeyDown,1,1,2,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:08.4,1,1,Discrete,KeyDown,1,1,2,6,r,Correct,R,0,2002157,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:08.5,1,1,Discrete,KeyDown,1,1,2,6,w,Correct,W,0,1670157,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:08.7,1,1,Discrete,KeyDown,1,1,2,6,r,Failed,E,0,1331181,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:08.7,1,1,Discrete,Sequence Failed,1,1,2,6,NA,NA,NA,NA,0,5003495,NA,NA,NA,NA,NA,NA
19/05/2020,04:08.7,1,1,Discrete,KeyDown,1,1,2,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:08.8,1,1,Discrete,KeyDown,1,1,2,6,w,Failed,R,0,1166592,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:08.8,1,1,Discrete,Sequence Failed,1,1,2,6,NA,NA,NA,NA,0,1166592,NA,NA,NA,NA,NA,NA
19/05/2020,04:09.0,1,1,Discrete,KeyDown,1,1,2,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:09.1,1,1,Discrete,KeyDown,1,1,2,6,w,Failed,R,0,828345,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:09.1,1,1,Discrete,Sequence Failed,1,1,2,6,NA,NA,NA,NA,0,828345,NA,NA,NA,NA,NA,NA
19/05/2020,04:09.2,1,1,Discrete,KeyDown,1,1,2,6,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:09.2,1,1,Discrete,KeyDown,1,1,2,6,r,Failed,T,0,16952,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:09.4,1,1,Discrete,KeyDown,1,1,2,6,w,Failed,T,0,1333747,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:09.4,1,1,Discrete,Sequence Failed,1,1,2,6,NA,NA,NA,NA,0,1503267,NA,NA,NA,NA,NA,NA
19/05/2020,04:09.5,1,1,Discrete,KeyDown,1,1,2,6,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:09.7,1,1,Discrete,KeyDown,1,1,2,6,e,Failed,T,0,2335177,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:09.8,1,1,Discrete,Sequence Failed,1,1,2,6,NA,NA,NA,NA,0,2836549,NA,NA,NA,NA,NA,NA
19/05/2020,04:09.8,1,1,Discrete,InputWindowOver,1,1,2,6,NA,NA,NA,NA,NA,0,6,0,6,Fish Escaped,NA,NA
19/05/2020,04:30.2,1,1,Discrete,KeyDown,1,0,2,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:30.4,1,1,Discrete,KeyDown,1,0,2,7,r,Correct,R,0,2335741,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:30.7,1,1,Discrete,KeyDown,1,0,2,7,w,Correct,W,0,3001995,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:31.0,1,1,Discrete,KeyDown,1,0,2,7,e,Correct,E,0,2335644,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:31.0,1,1,Discrete,Sequence Success,1,0,2,7,NA,NA,NA,NA,0,767338,NA,NA,NA,NA,NA,NA
19/05/2020,04:32.9,1,1,Discrete,InputWindowOver,1,0,3,7,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
19/05/2020,04:52.3,1,1,Discrete,KeyDown,1,1,3,8,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:52.6,1,1,Discrete,KeyDown,1,1,3,8,r,Correct,R,0,2835407,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:52.9,1,1,Discrete,KeyDown,1,1,3,8,w,Correct,W,0,2503392,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:53.1,1,1,Discrete,KeyDown,1,1,3,8,e,Correct,E,0,2504686,NA,NA,NA,NA,NA,NA,NA
19/05/2020,04:53.1,1,1,Discrete,Sequence Success,1,1,3,8,NA,NA,NA,NA,0,7843484,NA,NA,NA,NA,NA,NA
19/05/2020,04:54.9,1,1,Discrete,InputWindowOver,1,1,4,8,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
19/05/2020,05:25.4,1,1,Discrete,Frustration Questionnaire,NA,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
19/05/2020,05:44.8,1,1,Discrete,KeyDown,1,8,4,9,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,05:45.1,1,1,Discrete,KeyDown,1,8,4,9,r,Correct,R,0,2836097,NA,NA,NA,NA,NA,NA,NA
19/05/2020,05:45.4,1,1,Discrete,KeyDown,1,8,4,9,w,Correct,W,0,2503953,NA,NA,NA,NA,NA,NA,NA
19/05/2020,05:45.7,1,1,Discrete,KeyDown,1,8,4,9,e,Correct,E,0,3333993,NA,NA,NA,NA,NA,NA,NA
19/05/2020,05:45.7,1,1,Discrete,Sequence Success,1,8,4,9,NA,NA,NA,NA,0,8674043,NA,NA,NA,NA,NA,NA
19/05/2020,05:46.6,1,1,Discrete,KeyDown,1,8,4,9,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,05:47.3,1,1,Discrete,InputWindowOver,1,8,4,9,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA
19/05/2020,06:18.7,1,1,Discrete,KeyDown,2,2,4,10,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,06:18.9,1,1,Discrete,KeyDown,2,2,4,10,r,Correct,R,0,2502548,NA,NA,NA,NA,NA,NA,NA
19/05/2020,06:19.2,1,1,Discrete,KeyDown,2,2,4,10,w,Correct,W,0,2670385,NA,NA,NA,NA,NA,NA,NA
19/05/2020,06:19.5,1,1,Discrete,KeyDown,2,2,4,10,e,Correct,E,0,3336355,NA,NA,NA,NA,NA,NA,NA
19/05/2020,06:19.5,1,1,Discrete,Sequence Success,2,2,4,10,NA,NA,NA,NA,0,8509288,NA,NA,NA,NA,NA,NA
19/05/2020,06:21.2,1,1,Discrete,InputWindowOver,2,2,5,10,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
19/05/2020,06:49.6,1,1,Discrete,KeyDown,2,2,5,11,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,06:49.9,1,1,Discrete,KeyDown,2,2,5,11,r,Correct,R,0,3165264,NA,NA,NA,NA,NA,NA,NA
19/05/2020,06:50.2,1,1,Discrete,KeyDown,2,2,5,11,w,Correct,W,0,3341677,NA,NA,NA,NA,NA,NA,NA
19/05/2020,06:50.7,1,1,Discrete,KeyDown,2,2,5,11,e,Correct,E,0,4835179,NA,NA,NA,NA,NA,NA,NA
19/05/2020,06:50.7,1,1,Discrete,Sequence Success,2,2,5,11,NA,NA,NA,NA,1,134212,NA,NA,NA,NA,NA,NA
19/05/2020,06:52.1,1,1,Discrete,InputWindowOver,2,2,6,11,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
19/05/2020,07:12.4,1,1,Discrete,KeyDown,2,3,6,12,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,07:12.7,1,1,Discrete,KeyDown,2,3,6,12,r,Correct,R,0,3504232,NA,NA,NA,NA,NA,NA,NA
19/05/2020,07:13.0,1,1,Discrete,KeyDown,2,3,6,12,w,Correct,W,0,2832489,NA,NA,NA,NA,NA,NA,NA
19/05/2020,07:13.3,1,1,Discrete,KeyDown,2,3,6,12,e,Correct,E,0,2838339,NA,NA,NA,NA,NA,NA,NA
19/05/2020,07:13.3,1,1,Discrete,Sequence Success,2,3,6,12,NA,NA,NA,NA,0,917506,NA,NA,NA,NA,NA,NA
19/05/2020,07:13.9,1,1,Discrete,KeyDown,2,3,6,12,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,07:14.8,1,1,Discrete,InputWindowOver,2,3,6,12,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA
19/05/2020,07:35.4,1,1,Discrete,KeyDown,2,3,6,13,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,07:35.9,1,1,Discrete,KeyDown,2,3,6,13,r,Correct,R,0,4337115,NA,NA,NA,NA,NA,NA,NA
19/05/2020,07:36.2,1,1,Discrete,KeyDown,2,3,6,13,w,Correct,W,0,3502869,NA,NA,NA,NA,NA,NA,NA
19/05/2020,07:36.5,1,1,Discrete,KeyDown,2,3,6,13,e,Correct,E,0,2835996,NA,NA,NA,NA,NA,NA,NA
19/05/2020,07:36.5,1,1,Discrete,Sequence Success,2,3,6,13,NA,NA,NA,NA,1,67598,NA,NA,NA,NA,NA,NA
19/05/2020,07:37.9,1,1,Discrete,InputWindowOver,2,3,7,13,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
19/05/2020,08:01.6,1,1,Discrete,KeyDown,2,3,7,14,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,08:02.0,1,1,Discrete,KeyDown,2,3,7,14,r,Correct,R,0,3836022,NA,NA,NA,NA,NA,NA,NA
19/05/2020,08:02.3,1,1,Discrete,KeyDown,2,3,7,14,w,Correct,W,0,3171335,NA,NA,NA,NA,NA,NA,NA
19/05/2020,08:02.8,1,1,Discrete,KeyDown,2,3,7,14,e,Correct,E,0,4837153,NA,NA,NA,NA,NA,NA,NA
19/05/2020,08:02.8,1,1,Discrete,Sequence Success,2,3,7,14,NA,NA,NA,NA,1,184451,NA,NA,NA,NA,NA,NA
19/05/2020,08:03.4,1,1,Discrete,KeyDown,2,3,7,14,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,08:04.3,1,1,Discrete,InputWindowOver,2,3,7,14,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA
19/05/2020,08:25.4,1,1,Discrete,KeyDown,2,3,7,15,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,08:25.8,1,1,Discrete,KeyDown,2,3,7,15,r,Correct,R,0,3839311,NA,NA,NA,NA,NA,NA,NA
19/05/2020,08:26.1,1,1,Discrete,KeyDown,2,3,7,15,w,Correct,W,0,2836624,NA,NA,NA,NA,NA,NA,NA
19/05/2020,08:26.5,1,1,Discrete,KeyDown,2,3,7,15,e,Correct,E,0,4839728,NA,NA,NA,NA,NA,NA,NA
