Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,11:23:23.7901,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:05.9574,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:06.2157,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.2705914,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:06.7709,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.5560443,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:07.0496,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.2777566,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:07.0511,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,1.104392,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:07.3334,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:07.5768,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.2431816,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:07.9247,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.3470661,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:08.2226,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.298843,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:08.2226,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.8890907,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:08.5290,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:08.7580,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.2292009,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:09.1047,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.3401522,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:09.3618,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.2641441,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:09.3618,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.8334972,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:09.6892,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:09.9385,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.2498526,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:10.5296,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.5907103,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:10.7996,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.2703711,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:10.7996,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,1.110934,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:11.1890,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:11.4247,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.236092,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:11.8137,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.3890825,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:12.0639,Continuous,Sequence Failed,1,0,0,1,NA,NA,NA,NA,0.8753336,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:12.0654,Continuous,InputWindowOver,1,0,1,1,NA,NA,NA,NA,NA,4,1,1,5,Got Fish,NA,NA,
2020-05-20,11:24:32.1439,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:32.4141,Continuous,KeyDown,1,0,1,2,r,Correct,R,0.2708909,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:32.7833,Continuous,KeyDown,1,0,1,2,w,Correct,W,0.3682333,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:33.0257,Continuous,KeyDown,1,0,1,2,e,Correct,E,0.2429998,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:33.0257,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,0.8821239,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:33.3521,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:33.5536,Continuous,KeyDown,1,0,1,2,r,Correct,R,0.2016019,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:34.0119,Continuous,KeyDown,1,0,1,2,w,Correct,W,0.4581346,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:34.2547,Continuous,KeyDown,1,0,1,2,e,Correct,E,0.2436748,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:34.2547,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,0.9034113,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:34.6163,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:34.8662,Continuous,KeyDown,1,0,1,2,r,Correct,R,0.2501822,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:35.3105,Continuous,KeyDown,1,0,1,2,w,Correct,W,0.4444984,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:35.5544,Continuous,KeyDown,1,0,1,2,e,Correct,E,0.2429273,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:35.5544,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,0.9376079,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:35.9358,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:36.1716,Continuous,KeyDown,1,0,1,2,r,Correct,R,0.2360297,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:36.5259,Continuous,KeyDown,1,0,1,2,w,Correct,W,0.3542653,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:36.8043,Continuous,KeyDown,1,0,1,2,e,Correct,E,0.2779329,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:36.8043,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,0.868228,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:37.2343,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:37.5053,Continuous,KeyDown,1,0,1,2,r,Correct,R,0.2707044,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:37.8596,Continuous,KeyDown,1,0,1,2,w,Correct,W,0.3542546,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:38.0747,Continuous,KeyDown,1,0,1,2,e,Correct,E,0.2153261,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:38.0747,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,0.8402851,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:38.0892,Continuous,InputWindowOver,1,0,2,2,NA,NA,NA,NA,NA,5,0,4,5,Got Fish,NA,NA,
2020-05-20,11:24:56.7592,Continuous,KeyDown,1,1,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:57.0234,Continuous,KeyDown,1,1,2,3,r,Correct,R,0.2635602,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:57.3697,Continuous,KeyDown,1,1,2,3,w,Correct,W,0.3474251,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:57.6617,Continuous,KeyDown,1,1,2,3,e,Correct,E,0.2916795,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:57.6617,Continuous,Sequence Success,1,1,2,3,NA,NA,NA,NA,0.9026648,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:57.9738,Continuous,KeyDown,1,1,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:58.2102,Continuous,KeyDown,1,1,2,3,r,Correct,R,0.2360149,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:58.5712,Continuous,KeyDown,1,1,2,3,w,Correct,W,0.3609363,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:58.8494,Continuous,KeyDown,1,1,2,3,e,Correct,E,0.2781259,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:58.8494,Continuous,Sequence Success,1,1,2,3,NA,NA,NA,NA,0.8750771,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:59.1901,Continuous,KeyDown,1,1,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:59.4333,Continuous,KeyDown,1,1,2,3,r,Correct,R,0.2431459,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:24:59.8083,Continuous,KeyDown,1,1,2,3,w,Correct,W,0.3752139,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:00.0997,Continuous,KeyDown,1,1,2,3,e,Correct,E,0.2916213,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:00.0997,Continuous,Sequence Success,1,1,2,3,NA,NA,NA,NA,0.9099811,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:00.4266,Continuous,KeyDown,1,1,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:00.6755,Continuous,KeyDown,1,1,2,3,r,Correct,R,0.2496716,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:01.0508,Continuous,KeyDown,1,1,2,3,w,Correct,W,0.3753328,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:01.3293,Continuous,KeyDown,1,1,2,3,e,Correct,E,0.2780719,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:01.3298,Continuous,Sequence Success,1,1,2,3,NA,NA,NA,NA,0.9030763,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:01.6904,Continuous,KeyDown,1,1,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:01.9343,Continuous,KeyDown,1,1,2,3,r,Correct,R,0.2433843,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:02.2803,Continuous,KeyDown,1,1,2,3,w,Correct,W,0.3472868,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:02.5028,Continuous,KeyDown,1,1,2,3,e,Correct,E,0.2222229,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:02.5028,Continuous,Sequence Success,1,1,2,3,NA,NA,NA,NA,0.812894,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:02.8088,Continuous,InputWindowOver,1,1,2,3,NA,NA,NA,NA,NA,5,0,4,5,Fish Escaped,NA,NA,
2020-05-20,11:25:21.9646,Continuous,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:22.2287,Continuous,KeyDown,1,1,2,4,r,Correct,R,0.2638858,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:22.5967,Continuous,KeyDown,1,1,2,4,w,Correct,W,0.3682116,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:22.8742,Continuous,KeyDown,1,1,2,4,e,Correct,E,0.2779484,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:22.8742,Continuous,Sequence Success,1,1,2,4,NA,NA,NA,NA,0.9100458,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:23.1798,Continuous,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:25:23.4298,Continuous,KeyDown,1,1,2,4,r,Correct,R,0.2498605,NA,NA,NA,NA,NA,NA,NA,NA,
