Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,19:34:28.9059,Discrete,KeyDown,3,5,9,15,w,Correct,W,0,2638114,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:28.9818,Discrete,Sequence Failed,3,5,9,15,NA,NA,NA,NA,0,4097229,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:28.9818,Discrete,InputWindowOver,3,5,9,15,NA,NA,NA,NA,NA,3,1,3,4,Fish Escaped,NA,NA,
2020-05-20,19:34:47.9054,Discrete,KeyDown,3,5,9,16,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:47.9615,Discrete,KeyDown,3,5,9,16,r,Correct,R,0,0555415,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:48.2246,Discrete,KeyDown,3,5,9,16,w,Correct,W,0,2636724,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:48.2947,Discrete,KeyDown,3,5,9,16,e,Correct,E,0,06967473,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:48.2947,Discrete,Sequence Success,3,5,9,16,NA,NA,NA,NA,0,3888886,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:48.6559,Discrete,KeyDown,3,5,9,16,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:48.7247,Discrete,KeyDown,3,5,9,16,r,Correct,R,0,0695203,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:50.8426,Discrete,InputWindowOver,3,5,10,16,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,19:35:12.7527,Discrete,KeyDown,3,4,10,17,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:12.8288,Discrete,KeyDown,3,4,10,17,r,Correct,R,0,0763437,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:13.0861,Discrete,KeyDown,3,4,10,17,w,Correct,W,0,2569332,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:13.1690,Discrete,KeyDown,3,4,10,17,e,Correct,E,0,08341739,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:13.1690,Discrete,Sequence Success,3,4,10,17,NA,NA,NA,NA,0,4166943,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:15.5225,Discrete,InputWindowOver,3,4,11,17,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,19:35:38.3288,Discrete,KeyDown,3,4,11,18,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:38.4047,Discrete,KeyDown,3,4,11,18,r,Correct,R,0,07625349,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:38.5570,Discrete,KeyDown,3,4,11,18,w,Correct,W,0,1528763,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:38.6750,Discrete,KeyDown,3,4,11,18,e,Correct,E,0,1181961,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:38.6750,Discrete,Sequence Success,3,4,11,18,NA,NA,NA,NA,0,3473259,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:39.3908,Discrete,KeyDown,3,4,11,18,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:39.4669,Discrete,KeyDown,3,4,11,18,r,Correct,R,0,0765911,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:39.6059,Discrete,KeyDown,3,4,11,18,w,Correct,W,0,1389849,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:39.7379,Discrete,KeyDown,3,4,11,18,e,Correct,E,0,1316794,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:39.7379,Discrete,Sequence Success,3,4,11,18,NA,NA,NA,NA,0,3472554,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:40.1683,Discrete,KeyDown,3,4,11,18,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:40.2246,Discrete,KeyDown,3,4,11,18,r,Correct,R,0,0555385,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:40.3487,Discrete,KeyDown,3,4,11,18,w,Correct,W,0,1249594,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:40.4879,Discrete,KeyDown,3,4,11,18,e,Correct,E,0,1388675,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:40.4879,Discrete,Sequence Success,3,4,11,18,NA,NA,NA,NA,0,3193654,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:35:41.1820,Discrete,InputWindowOver,3,4,11,18,NA,NA,NA,NA,NA,3,0,3,3,Fish Escaped,NA,NA,
2020-05-20,19:36:03.7928,Discrete,KeyDown,3,4,11,19,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:03.8834,Discrete,KeyDown,3,4,11,19,e,Failed,T,0,09020239,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:04.2309,Discrete,KeyDown,3,4,11,19,t,Correct,T,0,3470904,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:04.3134,Discrete,KeyDown,3,4,11,19,r,Correct,R,0,08324465,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:04.8207,Discrete,KeyDown,3,4,11,19,w,Correct,W,0,5070406,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:04.8419,Discrete,KeyDown,3,4,11,19,e,Correct,E,0,02074754,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:04.8419,Discrete,Sequence Success,3,4,11,19,NA,NA,NA,NA,1,048326,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:05.1959,Discrete,KeyDown,3,4,11,19,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:05.2654,Discrete,KeyDown,3,4,11,19,r,Correct,R,0,0691542,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:05.5017,Discrete,KeyDown,3,4,11,19,w,Correct,W,0,2361357,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:05.5707,Discrete,KeyDown,3,4,11,19,e,Correct,E,0,0693979,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:05.5707,Discrete,Sequence Success,3,4,11,19,NA,NA,NA,NA,0,3746878,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:05.9107,Discrete,KeyDown,3,4,11,19,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:05.9810,Discrete,KeyDown,3,4,11,19,r,Correct,R,0,0694277,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:06.2237,Discrete,KeyDown,3,4,11,19,w,Correct,W,0,2428879,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:06.2588,Discrete,KeyDown,3,4,11,19,e,Correct,E,0,03470582,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:06.2588,Discrete,Sequence Success,3,4,11,19,NA,NA,NA,NA,0,3470215,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:06.6057,Discrete,InputWindowOver,3,4,11,19,NA,NA,NA,NA,NA,3,0,3,3,Fish Escaped,NA,NA,
2020-05-20,19:36:30.5216,Discrete,KeyDown,3,4,11,20,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:30.5848,Discrete,KeyDown,3,4,11,20,r,Correct,R,0,0625532,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:30.8346,Discrete,KeyDown,3,4,11,20,w,Correct,W,0,2499656,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:30.9044,Discrete,KeyDown,3,4,11,20,e,Correct,E,0,0696449,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:30.9044,Discrete,Sequence Success,3,4,11,20,NA,NA,NA,NA,0,3821637,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:31.2788,Discrete,KeyDown,3,4,11,20,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:31.3688,Discrete,KeyDown,3,4,11,20,r,Correct,R,0,090234,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:31.6326,Discrete,KeyDown,3,4,11,20,w,Correct,W,0,2639804,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:31.6889,Discrete,KeyDown,3,4,11,20,e,Correct,E,0,05545872,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:31.6889,Discrete,Sequence Success,3,4,11,20,NA,NA,NA,NA,0,4096731,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:36:33.3618,Discrete,InputWindowOver,3,4,12,20,NA,NA,NA,NA,NA,2,0,1,2,Got Fish,NA,NA,
2020-05-20,19:36:40.0146,Discrete,Frustration Questionnaire,NA,NA,12,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
