Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,19:29:57.0560,Discrete,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,3676485,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:57.3059,Discrete,InputWindowOver,1,1,2,4,NA,NA,NA,NA,NA,3,0,3,3,Fish Escaped,NA,NA,
2020-05-20,19:30:17.1173,Discrete,KeyDown,1,1,2,5,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:30:17.2218,Discrete,KeyDown,1,1,2,5,e,Failed,T,0,1041844,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:30:17.5274,Discrete,KeyDown,1,1,2,5,t,Correct,T,0,3054541,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:30:17.6036,Discrete,KeyDown,1,1,2,5,r,Correct,R,0,07635015,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:30:17.8535,Discrete,KeyDown,1,1,2,5,w,Correct,W,0,2500249,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:30:17.9095,Discrete,KeyDown,1,1,2,5,e,Correct,E,0,0555042,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:30:17.9095,Discrete,Sequence Success,1,1,2,5,NA,NA,NA,NA,0,7915177,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:30:20.0619,Discrete,InputWindowOver,1,1,3,5,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,19:30:39.6588,Discrete,KeyDown,1,1,3,6,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:30:39.7559,Discrete,KeyDown,1,1,3,6,e,Failed,T,0,09731071,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:30:40.0553,Discrete,KeyDown,1,1,3,6,t,Correct,T,0,2986108,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:30:40.1379,Discrete,KeyDown,1,1,3,6,r,Correct,R,0,08321056,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:30:40.3397,Discrete,KeyDown,1,1,3,6,w,Correct,W,0,2013724,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:30:40.4368,Discrete,KeyDown,1,1,3,6,e,Correct,E,0,09726399,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:30:40.4368,Discrete,Sequence Success,1,1,3,6,NA,NA,NA,NA,0,7777685,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:30:42.5068,Discrete,InputWindowOver,1,1,4,6,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,19:30:51.3956,Discrete,Frustration Questionnaire,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
2020-05-20,19:31:10.6800,Discrete,KeyDown,2,2,4,7,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:10.7833,Discrete,KeyDown,2,2,4,7,e,Failed,T,0,1040836,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:11.0687,Discrete,KeyDown,2,2,4,7,t,Correct,T,0,2847139,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:11.1309,Discrete,KeyDown,2,2,4,7,r,Correct,R,0,06257281,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:11.3113,Discrete,KeyDown,2,2,4,7,w,Correct,W,0,1807796,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:11.4227,Discrete,KeyDown,2,2,4,7,e,Correct,E,0,1109846,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:11.4227,Discrete,Sequence Success,2,2,4,7,NA,NA,NA,NA,0,7431346,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:11.7633,Discrete,KeyDown,2,2,4,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:11.8261,Discrete,KeyDown,2,2,4,7,r,Correct,R,0,06244989,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:12.0408,Discrete,KeyDown,2,2,4,7,w,Correct,W,0,2151896,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:12.1028,Discrete,KeyDown,2,2,4,7,e,Correct,E,0,06260258,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:12.1028,Discrete,Sequence Success,2,2,4,7,NA,NA,NA,NA,0,3402421,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:12.4709,Discrete,KeyDown,2,2,4,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:12.5337,Discrete,KeyDown,2,2,4,7,r,Correct,R,0,0624156,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:12.7347,Discrete,KeyDown,2,2,4,7,w,Correct,W,0,2014508,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:12.8251,Discrete,KeyDown,2,2,4,7,e,Correct,E,0,09030178,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:12.8261,Discrete,Sequence Success,2,2,4,7,NA,NA,NA,NA,0,3541681,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:13.1934,Discrete,KeyDown,2,2,4,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:13.2689,Discrete,KeyDown,2,2,4,7,r,Correct,R,0,07626049,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:13.4707,Discrete,KeyDown,2,2,4,7,w,Correct,W,0,2013117,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:13.5547,Discrete,KeyDown,2,2,4,7,e,Correct,E,0,08333629,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:13.5547,Discrete,Sequence Success,2,2,4,7,NA,NA,NA,NA,0,3609085,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:13.7629,Discrete,InputWindowOver,2,2,4,7,NA,NA,NA,NA,NA,4,0,4,4,Fish Escaped,NA,NA,
2020-05-20,19:31:33.0675,Discrete,KeyDown,2,2,4,8,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:33.1372,Discrete,KeyDown,2,2,4,8,r,Correct,R,0,0694045,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:33.4289,Discrete,KeyDown,2,2,4,8,w,Correct,W,0,2917639,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:33.4989,Discrete,KeyDown,2,2,4,8,e,Correct,E,0,06950247,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:33.4989,Discrete,Sequence Success,2,2,4,8,NA,NA,NA,NA,0,4306709,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:35.7620,Discrete,InputWindowOver,2,2,5,8,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,19:31:54.8312,Discrete,KeyDown,2,2,5,9,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:54.9492,Discrete,KeyDown,2,2,5,9,e,Failed,T,0,1180507,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:55.2208,Discrete,KeyDown,2,2,5,9,t,Correct,T,0,2708623,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:55.2897,Discrete,KeyDown,2,2,5,9,r,Correct,R,0,06932139,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:55.4706,Discrete,KeyDown,2,2,5,9,w,Correct,W,0,1807362,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:55.5745,Discrete,KeyDown,2,2,5,9,e,Correct,E,0,1042332,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:55.5745,Discrete,Sequence Success,2,2,5,9,NA,NA,NA,NA,0,7432038,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:55.9287,Discrete,KeyDown,2,2,5,9,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:55.9979,Discrete,KeyDown,2,2,5,9,r,Correct,R,0,06969319,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:56.1928,Discrete,KeyDown,2,2,5,9,w,Correct,W,0,194415,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:56.2628,Discrete,KeyDown,2,2,5,9,e,Correct,E,0,06931254,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:56.2628,Discrete,Sequence Success,2,2,5,9,NA,NA,NA,NA,0,3334207,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:56.6097,Discrete,KeyDown,2,2,5,9,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:56.6719,Discrete,KeyDown,2,2,5,9,r,Correct,R,0,0625008,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:56.9079,Discrete,KeyDown,2,2,5,9,w,Correct,W,0,2359651,NA,NA,NA,NA,NA,NA,NA,NA,
