Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration,
20/05/2020,15:46.5,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20/05/2020,17:10.9,Continuous,KeyDown,1,0,0,1,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
20/05/2020,17:11.1,Continuous,KeyDown,1,0,0,1,q,Failed,T,0,2152767,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,17:11.2,Continuous,KeyDown,1,0,0,1,q,Failed,T,0,4179841,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,17:11.2,Continuous,Sequence Failed,1,0,0,1,NA,NA,NA,NA,0,2570751,NA,NA,NA,NA,NA,NA,NA
20/05/2020,17:11.3,Continuous,KeyDown,1,0,0,1,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
20/05/2020,17:11.6,Continuous,KeyDown,1,0,0,1,r,Failed,T,0,3613022,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,17:11.8,Continuous,KeyDown,1,0,0,1,e,Failed,T,0,1247055,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,17:11.8,Continuous,Sequence Failed,1,0,0,1,NA,NA,NA,NA,0,4860078,NA,NA,NA,NA,NA,NA,NA
20/05/2020,17:12.0,Continuous,KeyDown,1,0,0,1,q,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
20/05/2020,17:12.2,Continuous,KeyDown,1,0,0,1,w,Failed,T,0,2361772,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,17:12.6,Continuous,KeyDown,1,0,0,1,r,Failed,T,0,375034,NA,NA,NA,NA,NA,NA,NA,NA
