Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,16:14:39.2250,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:26.3400,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:26.5299,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.2362938,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:26.7816,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.2338506,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:26.9954,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.2389523,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:26.9964,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.7090967,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:27.2127,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:27.4100,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.2448779,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:27.6487,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.1823727,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:27.8580,Continuous,KeyDown,1,0,0,1,t,Correct,E,0.2541308,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:28.4479,Continuous,KeyDown,1,0,0,1,t,Correct,R,0.557712,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:28.5567,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.1517258,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:28.7955,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.1979342,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:28.9333,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.1735998,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:28.9333,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,1.762353,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:29.1603,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:29.2922,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.1312657,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:29.4730,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.1503071,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:29.6119,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.1708222,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:29.6119,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.452395,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:29.9771,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:30.2028,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.2432376,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:30.5035,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.3016539,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:30.6773,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.2192948,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:30.6773,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.7641863,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:31.0630,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:31.2298,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.2069345,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:31.4356,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.199554,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:32.0150,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.5852502,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:32.0150,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.9917387,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:32.1988,Continuous,InputWindowOver,1,0,1,1,NA,NA,NA,NA,NA,5,0,1,5,Got Fish,NA,NA,
2020-05-20,16:15:51.5568,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:51.7931,Continuous,KeyDown,1,0,1,2,r,Correct,R,0.2843728,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:52.0249,Continuous,KeyDown,1,0,1,2,w,Correct,W,0.2001171,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:52.2078,Continuous,KeyDown,1,0,1,2,e,Correct,E,0.1988516,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:52.2078,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,0.6833416,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:52.4052,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:52.5700,Continuous,KeyDown,1,0,1,2,r,Correct,R,0.2264176,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:52.7958,Continuous,KeyDown,1,0,1,2,w,Correct,W,0.1947358,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:53.0239,Continuous,KeyDown,1,0,1,2,t,Correct,E,0.2565933,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:53.4385,Continuous,KeyDown,1,0,1,2,t,Correct,R,0.4166023,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:53.5294,Continuous,KeyDown,1,0,1,2,r,Correct,R,0.09086871,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:53.6942,Continuous,KeyDown,1,0,1,2,w,Correct,W,0.1589838,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:53.8940,Continuous,KeyDown,1,0,1,2,e,Correct,E,0.1962,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:53.8940,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,1.540402,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:54.1338,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:54.2816,Continuous,KeyDown,1,0,1,2,r,Correct,R,0.1118008,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:54.4744,Continuous,KeyDown,1,0,1,2,w,Correct,W,0.2116613,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:54.6118,Continuous,KeyDown,1,0,1,2,e,Correct,E,0.1663948,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:54.6118,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,0.4898568,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:54.8865,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:54.9997,Continuous,KeyDown,1,0,1,2,r,Correct,R,0.1174691,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:55.2175,Continuous,KeyDown,1,0,1,2,w,Correct,W,0.2223329,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:55.3853,Continuous,KeyDown,1,0,1,2,e,Correct,E,0.1873962,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:55.3853,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,0.5271982,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:55.6680,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:55.7939,Continuous,KeyDown,1,0,1,2,r,Correct,R,0.1311837,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:56.0037,Continuous,KeyDown,1,0,1,2,w,Correct,W,0.1885292,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:56.1835,Continuous,KeyDown,1,0,1,2,e,Correct,E,0.1557307,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:56.1835,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,0.4754436,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:56.4342,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:56.5501,Continuous,KeyDown,1,0,1,2,r,Correct,R,0.1170871,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:56.7239,Continuous,KeyDown,1,0,1,2,w,Correct,W,0.1606159,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:56.9257,Continuous,KeyDown,1,0,1,2,e,Correct,E,0.1810146,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:56.9267,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,0.4587176,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:57.1955,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:57.3213,Continuous,KeyDown,1,0,1,2,r,Correct,R,0.1110288,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,16:15:57.5201,Continuous,Sequence Failed,1,0,1,2,NA,NA,NA,NA,0.3054293,NA,NA,NA,NA,NA,NA,NA,
