Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,10:36:34.4940,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:04.0785,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:04.3717,Discrete,KeyDown,1,0,0,1,r,Correct,R,0,2985627,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:04.6769,Discrete,KeyDown,1,0,0,1,w,Correct,W,0,3056224,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:04.9343,Discrete,KeyDown,1,0,0,1,e,Correct,E,0,2569602,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:04.9343,Discrete,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,8611452,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:05.7469,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:06.0311,Discrete,KeyDown,1,0,0,1,r,Correct,R,0,2918624,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:06.3084,Discrete,KeyDown,1,0,0,1,w,Correct,W,0,2776213,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:06.6012,Discrete,KeyDown,1,0,0,1,e,Correct,E,0,2918845,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:06.6012,Discrete,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,8613682,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:06.6780,Discrete,InputWindowOver,1,0,0,1,NA,NA,NA,NA,NA,2,0,2,2,Fish Escaped,NA,NA,
2020-05-20,10:37:27.4353,Discrete,KeyDown,1,0,0,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:27.7471,Discrete,KeyDown,1,0,0,2,r,Correct,R,0,3123534,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:28.0737,Discrete,KeyDown,1,0,0,2,w,Correct,W,0,3264022,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:28.3726,Discrete,KeyDown,1,0,0,2,e,Correct,E,0,2988251,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:28.3726,Discrete,Sequence Success,1,0,0,2,NA,NA,NA,NA,0,9375808,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:29.8386,Discrete,InputWindowOver,1,0,1,2,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,10:37:51.4359,Discrete,KeyDown,1,0,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:51.7551,Discrete,KeyDown,1,0,1,3,r,Correct,R,0,3125216,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:52.0892,Discrete,KeyDown,1,0,1,3,w,Correct,W,0,3333734,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:52.4230,Discrete,KeyDown,1,0,1,3,e,Correct,E,0,3333135,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:52.4230,Discrete,Sequence Success,1,0,1,3,NA,NA,NA,NA,0,9792085,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:53.0066,Discrete,KeyDown,1,0,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:37:53.9566,Discrete,InputWindowOver,1,0,2,3,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,10:38:15.4298,Discrete,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:38:15.7988,Discrete,KeyDown,1,1,2,4,r,Correct,R,0,3680349,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:38:16.1250,Discrete,KeyDown,1,1,2,4,w,Correct,W,0,326427,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:38:16.4441,Discrete,KeyDown,1,1,2,4,e,Correct,E,0,3195295,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:38:16.4441,Discrete,Sequence Success,1,1,2,4,NA,NA,NA,NA,1,013991,NA,NA,NA,NA,NA,NA,NA,
