Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration,
19/05/2020,37:48.6,Discrete,KeyDown,3,4,10,17,w,Correct,W,0,2084847,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,37:48.6,Discrete,KeyDown,3,4,10,17,e,Correct,E,0,5544041,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,37:48.6,Discrete,Sequence Success,3,4,10,17,NA,NA,NA,NA,0,2987018,NA,NA,NA,NA,NA,NA,NA
19/05/2020,37:49.0,Discrete,InputWindowOver,3,4,10,17,NA,NA,NA,NA,NA,3,0,3,3,Fish Escaped,NA,NA,
19/05/2020,38:16.6,Discrete,KeyDown,3,4,10,18,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,38:16.7,Discrete,KeyDown,3,4,10,18,r,Correct,R,0,972239,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:16.9,Discrete,KeyDown,3,4,10,18,w,Correct,W,0,2500096,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:17.0,Discrete,KeyDown,3,4,10,18,e,Correct,E,0,1181845,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:17.0,Discrete,Sequence Success,3,4,10,18,NA,NA,NA,NA,0,465418,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:19.1,Discrete,InputWindowOver,3,4,11,18,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
19/05/2020,38:41.4,Discrete,KeyDown,3,4,11,19,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,38:41.5,Discrete,KeyDown,3,4,11,19,r,Correct,R,0,828928,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:41.7,Discrete,KeyDown,3,4,11,19,w,Correct,W,0,2227527,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:41.8,Discrete,KeyDown,3,4,11,19,e,Correct,E,0,8280349,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:41.8,Discrete,Sequence Success,3,4,11,19,NA,NA,NA,NA,0,388449,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:42.5,Discrete,KeyDown,3,4,11,19,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,38:42.5,Discrete,KeyDown,3,4,11,19,r,Correct,R,0,8319361,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:42.8,Discrete,KeyDown,3,4,11,19,w,Correct,W,0,243128,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:42.9,Discrete,KeyDown,3,4,11,19,e,Correct,E,0,9717959,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:42.9,Discrete,Sequence Success,3,4,11,19,NA,NA,NA,NA,0,4235012,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:43.2,Discrete,KeyDown,3,4,11,19,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,38:43.2,Discrete,KeyDown,3,4,11,19,r,Correct,R,0,553205,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:43.5,Discrete,KeyDown,3,4,11,19,w,Correct,W,0,2500191,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:43.6,Discrete,KeyDown,3,4,11,19,e,Correct,E,0,1458258,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:43.6,Discrete,Sequence Success,3,4,11,19,NA,NA,NA,NA,0,4511654,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:43.9,Discrete,KeyDown,3,4,11,19,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,38:44.0,Discrete,KeyDown,3,4,11,19,r,Correct,R,0,485788,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:44.0,Discrete,Sequence Failed,3,4,11,19,NA,NA,NA,NA,0,832967,NA,NA,NA,NA,NA,NA,NA
19/05/2020,38:44.0,Discrete,InputWindowOver,3,4,11,19,NA,NA,NA,NA,NA,3,1,3,4,Fish Escaped,NA,NA,
19/05/2020,39:06.7,Discrete,KeyDown,3,4,11,20,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,39:06.7,Discrete,KeyDown,3,4,11,20,r,Correct,R,0,762695,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,39:06.9,Discrete,KeyDown,3,4,11,20,w,Correct,W,0,1869269,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,39:07.1,Discrete,KeyDown,3,4,11,20,e,Correct,E,0,1249987,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,39:07.1,Discrete,Sequence Success,3,4,11,20,NA,NA,NA,NA,0,3881951,NA,NA,NA,NA,NA,NA,NA
19/05/2020,39:09.2,Discrete,InputWindowOver,3,4,12,20,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
19/05/2020,39:21.7,Discrete,Frustration Questionnaire,NA,NA,12,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,
