Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-19,15:17:52.5897,Continuous,KeyDown,1,0,0,2,w,Correct,W,0,2361998,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:52.6795,Continuous,KeyDown,1,0,0,2,e,Correct,E,0,09014413,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:52.6795,Continuous,Sequence Success,1,0,0,2,NA,NA,NA,NA,0,4088611,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:53.0131,Continuous,KeyDown,1,0,0,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:53.0750,Continuous,KeyDown,1,0,0,2,r,Correct,R,0,0626052,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:53.3397,Continuous,KeyDown,1,0,0,2,w,Correct,W,0,264018,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:53.4719,Continuous,KeyDown,1,0,0,2,e,Correct,E,0,132107,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:53.4719,Continuous,Sequence Success,1,0,0,2,NA,NA,NA,NA,0,4587302,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:55.1113,Continuous,InputWindowOver,1,0,1,2,NA,NA,NA,NA,NA,4,1,0,5,Got Fish,NA,NA,
2020-05-19,15:18:17.7437,Continuous,KeyDown,1,0,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:17.8067,Continuous,KeyDown,1,0,1,3,r,Correct,R,0,0624813,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:18.0344,Continuous,KeyDown,1,0,1,3,w,Correct,W,0,2287089,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:18.2082,Continuous,KeyDown,1,0,1,3,e,Correct,E,0,1735391,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:18.2082,Continuous,Sequence Success,1,0,1,3,NA,NA,NA,NA,0,4647293,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:18.4724,Continuous,KeyDown,1,0,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:18.5912,Continuous,KeyDown,1,0,1,3,r,Correct,R,0,1181369,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:18.8334,Continuous,KeyDown,1,0,1,3,w,Correct,W,0,2430706,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:18.9936,Continuous,KeyDown,1,0,1,3,e,Correct,E,0,1598127,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:18.9936,Continuous,Sequence Success,1,0,1,3,NA,NA,NA,NA,0,5210202,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:19.2775,Continuous,KeyDown,1,0,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:19.3543,Continuous,KeyDown,1,0,1,3,r,Correct,R,0,076341,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:19.5835,Continuous,KeyDown,1,0,1,3,w,Correct,W,0,229055,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:19.7295,Continuous,KeyDown,1,0,1,3,e,Correct,E,0,1457051,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:19.7295,Continuous,Sequence Success,1,0,1,3,NA,NA,NA,NA,0,4511011,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:19.9929,Continuous,KeyDown,1,0,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:20.0829,Continuous,KeyDown,1,0,1,3,r,Correct,R,0,0899578,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:20.3398,Continuous,KeyDown,1,0,1,3,w,Correct,W,0,2570255,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:20.4928,Continuous,KeyDown,1,0,1,3,e,Correct,E,0,1530971,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:20.4938,Continuous,Sequence Success,1,0,1,3,NA,NA,NA,NA,0,5000804,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:20.7988,Continuous,KeyDown,1,0,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:20.8900,Continuous,KeyDown,1,0,1,3,r,Correct,R,0,09041871,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:21.2573,Continuous,KeyDown,1,0,1,3,w,Correct,W,0,3681051,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:21.4313,Continuous,KeyDown,1,0,1,3,e,Correct,E,0,1733778,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:21.4313,Continuous,Sequence Success,1,0,1,3,NA,NA,NA,NA,0,6319016,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:21.8825,Continuous,KeyDown,1,0,1,3,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:23.7088,Continuous,InputWindowOver,1,0,2,3,NA,NA,NA,NA,NA,5,0,1,5,Got Fish,NA,NA,
2020-05-19,15:18:48.3143,Continuous,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:48.3983,Continuous,KeyDown,1,1,2,4,r,Correct,R,0,0833248,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:48.6342,Continuous,KeyDown,1,1,2,4,w,Correct,W,0,2360682,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:48.8553,Continuous,KeyDown,1,1,2,4,e,Correct,E,0,2223085,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:48.8553,Continuous,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,5417014,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:49.1272,Continuous,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:49.2167,Continuous,KeyDown,1,1,2,4,r,Correct,R,0,090289,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:49.4603,Continuous,KeyDown,1,1,2,4,w,Correct,W,0,2431642,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:49.6412,Continuous,KeyDown,1,1,2,4,e,Correct,E,0,1805952,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:49.6412,Continuous,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,5140485,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:49.8913,Continuous,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:50.0161,Continuous,KeyDown,1,1,2,4,r,Correct,R,0,1249995,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:50.2511,Continuous,KeyDown,1,1,2,4,w,Correct,W,0,235891,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:50.4813,Continuous,KeyDown,1,1,2,4,er,Correct,E,0,2293043,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:50.4813,Continuous,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,5901948,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:50.8705,Continuous,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:50.8980,Continuous,KeyDown,1,1,2,4,r,Correct,R,0,0274874,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:51.2039,Continuous,KeyDown,1,1,2,4,t,Correct,W,0,3055739,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:51.3216,Continuous,KeyDown,1,1,2,4,r,Correct,R,0,1180725,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:51.5157,Continuous,KeyDown,1,1,2,4,w,Correct,W,0,1944194,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:51.6693,Continuous,KeyDown,1,1,2,4,e,Correct,E,0,1528524,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:51.6693,Continuous,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,7984055,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:51.9393,Continuous,KeyDown,1,1,2,4,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:52.0013,Continuous,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:52.2168,Continuous,KeyDown,1,1,2,4,r,Correct,R,0,2154495,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:52.4121,Continuous,KeyDown,1,1,2,4,w,Correct,W,0,1943098,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:52.6410,Continuous,KeyDown,1,1,2,4,t,Correct,E,0,2292906,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:52.7377,Continuous,KeyDown,1,1,2,4,r,Correct,R,0,09723556,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:52.9471,Continuous,KeyDown,1,1,2,4,w,Correct,W,0,2083979,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:53.0022,Continuous,KeyDown,1,1,2,4,e,Correct,E,0,05546266,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:53.0022,Continuous,Sequence Success,1,1,2,4,NA,NA,NA,NA,1,000146,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:18:54.1484,Continuous,InputWindowOver,1,1,2,4,NA,NA,NA,NA,NA,5,0,1,5,Fish Escaped,NA,NA,
2020-05-19,15:19:13.9064,Continuous,KeyDown,1,1,2,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:13.9900,Continuous,KeyDown,1,1,2,5,r,Correct,R,0,08338191,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:14.1500,Continuous,KeyDown,1,1,2,5,w,Correct,W,0,1598158,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:14.4273,Continuous,KeyDown,1,1,2,5,w,Failed,E,0,2777793,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:14.4273,Continuous,Sequence Failed,1,1,2,5,NA,NA,NA,NA,0,520977,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:14.6422,Continuous,KeyDown,1,1,2,5,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
