Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-19,18:34:40.8089,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,18:35:41.0427,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,18:35:41.1964,Discrete,KeyDown,1,0,0,1,r,Correct,R,0.1333704,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,18:35:41.5169,Discrete,KeyDown,1,0,0,1,w,Correct,W,0.3500416,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,18:35:41.6586,Discrete,KeyDown,1,0,0,1,e,Correct,E,0.133308,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,18:35:41.6586,Discrete,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.61672,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,18:35:43.9675,Discrete,InputWindowOver,1,0,1,1,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,18:36:07.3004,Discrete,KeyDown,1,1,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,18:36:07.5175,Discrete,KeyDown,1,1,1,2,r,Correct,R,0.2166107,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,18:36:07.9166,Discrete,KeyDown,1,1,1,2,w,Correct,W,0.4000153,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,18:36:08.0670,Discrete,KeyDown,1,1,1,2,e,Correct,E,0.1506065,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,18:36:08.0670,Discrete,Sequence Success,1,1,1,2,NA,NA,NA,NA,0.7672325,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,18:36:08.1500,Discrete,KeyDown,1,1,1,2,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,18:36:10.1498,Discrete,InputWindowOver,1,1,1,2,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
2020-05-19,18:36:28.9837,Discrete,KeyDown,1,0,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,18:36:29.2169,Discrete,KeyDown,1,0,1,3,r,Correct,R,0.2334815,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,18:36:29.9838,Discrete,KeyDown,1,0,1,3,w,Correct,W,0.7665709,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,18:36:30.2333,Discrete,KeyDown,1,0,1,3,e,Correct,E,0.2499729,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,18:36:30.2333,Discrete,Sequence Success,1,0,1,3,NA,NA,NA,NA,1.250025,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,18:36:31.8667,Discrete,InputWindowOver,1,0,2,3,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,18:36:59.1665,Discrete,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
