Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-19,16:14:35.7628,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:43.1594,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:43.3524,Continuous,KeyDown,1,1,0,1,r,Correct,R,0.2014471,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:43.6075,Continuous,KeyDown,1,1,0,1,w,Correct,W,0.2572349,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:43.7195,Continuous,KeyDown,1,1,0,1,e,Correct,E,0.110897,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:43.7195,Continuous,Sequence Success,1,1,0,1,NA,NA,NA,NA,0.5695791,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:44.1916,Continuous,KeyDown,1,1,0,1,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:44.2816,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:44.6367,Continuous,KeyDown,1,1,0,1,w,Failed,R,0.3539673,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:44.6367,Continuous,Sequence Failed,1,1,0,1,NA,NA,NA,NA,0.3539673,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:44.8168,Continuous,KeyDown,1,1,0,1,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:45.0738,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:45.5249,Continuous,KeyDown,1,1,0,1,t,Correct,R,0.4511365,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:45.8440,Continuous,KeyDown,1,1,0,1,r,Correct,R,0.3197591,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:46.1080,Continuous,KeyDown,1,1,0,1,w,Correct,W,0.2639522,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:46.2401,Continuous,KeyDown,1,1,0,1,e,Correct,E,0.1316947,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:46.2401,Continuous,Sequence Success,1,1,0,1,NA,NA,NA,NA,1.166542,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:46.4621,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:46.7542,Continuous,KeyDown,1,1,0,1,r,Correct,R,0.291698,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:46.9412,Continuous,KeyDown,1,1,0,1,w,Correct,W,0.1877199,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:47.1363,Continuous,KeyDown,1,1,0,1,e,Correct,E,0.1942213,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:47.1363,Continuous,Sequence Success,1,1,0,1,NA,NA,NA,NA,0.6736392,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:47.3793,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:47.6774,Continuous,KeyDown,1,1,0,1,r,Correct,R,0.2986687,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:47.8644,Continuous,KeyDown,1,1,0,1,w,Correct,W,0.1872703,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:48.2125,Continuous,KeyDown,1,1,0,1,r,Failed,E,0.3473393,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:48.2125,Continuous,Sequence Failed,1,1,0,1,NA,NA,NA,NA,0.8332784,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:48.2465,Continuous,KeyDown,1,1,0,1,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:48.5806,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:49.0107,Continuous,KeyDown,1,1,0,1,r,Correct,R,0.4305893,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:49.2047,Continuous,KeyDown,1,1,0,1,w,Correct,W,0.1943164,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:49.2127,Continuous,Sequence Failed,1,1,0,1,NA,NA,NA,NA,0.632048,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:15:49.2127,Continuous,InputWindowOver,1,1,0,1,NA,NA,NA,NA,NA,3,3,1,6,Fish Escaped,NA,NA,
