Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-19,16:28:08.6046,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:28:59.3148,Discrete,InputWindowOver,1,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,Fish Escaped,NA,NA,
2020-05-19,16:29:19.7154,Discrete,KeyDown,1,0,0,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:29:19.8074,Discrete,KeyDown,1,0,0,2,r,Correct,R,0.09688681,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:29:20.1680,Discrete,KeyDown,1,0,0,2,w,Correct,W,0.3610195,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:29:20.2100,Discrete,KeyDown,1,0,0,2,e,Correct,E,0.04192853,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:29:20.2100,Discrete,Sequence Success,1,0,0,2,NA,NA,NA,NA,0.4998348,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:29:22.2720,Discrete,InputWindowOver,1,0,1,2,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,16:29:42.4319,Discrete,KeyDown,1,1,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:29:42.5150,Discrete,KeyDown,1,1,1,3,r,Correct,R,0.08355869,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:29:42.9391,Discrete,KeyDown,1,1,1,3,w,Correct,W,0.4235038,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:29:42.9801,Discrete,KeyDown,1,1,1,3,e,Correct,E,0.04185277,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:29:42.9801,Discrete,Sequence Success,1,1,1,3,NA,NA,NA,NA,0.5489152,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:29:43.4042,Discrete,KeyDown,1,1,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:29:43.4942,Discrete,KeyDown,1,1,1,3,r,Correct,R,0.0903317,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:29:43.8133,Discrete,KeyDown,1,1,1,3,w,Correct,W,0.3196005,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:29:43.8693,Discrete,KeyDown,1,1,1,3,e,Correct,E,0.05535361,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:29:43.8693,Discrete,Sequence Success,1,1,1,3,NA,NA,NA,NA,0.4652858,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:29:45.0085,Discrete,InputWindowOver,1,1,2,3,NA,NA,NA,NA,NA,2,0,1,2,Got Fish,NA,NA,
2020-05-19,16:30:05.1193,Discrete,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:30:05.2033,Discrete,KeyDown,1,1,2,4,r,Correct,R,0.08322679,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:30:05.6822,Discrete,KeyDown,1,1,2,4,w,Correct,W,0.4793444,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:30:05.7303,Discrete,KeyDown,1,1,2,4,e,Correct,E,0.04840666,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:30:05.7303,Discrete,Sequence Success,1,1,2,4,NA,NA,NA,NA,0.6109778,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,16:30:07.6683,Discrete,InputWindowOver,1,1,2,4,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
