Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,13:15:55.2512,Discrete,Sequence Success,1,1,3,7,NA,NA,NA,NA,0,8832428,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:15:56.9503,Discrete,InputWindowOver,1,1,4,7,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,13:16:10.6340,Discrete,Frustration Questionnaire,NA,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,
2020-05-20,13:16:30.6327,Discrete,KeyDown,2,2,4,8,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:16:31.2495,Discrete,KeyDown,2,2,4,8,r,Correct,R,0,6167414,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:16:31.4668,Discrete,KeyDown,2,2,4,8,w,Correct,W,0,2165841,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:16:31.6328,Discrete,KeyDown,2,2,4,8,e,Correct,E,0,1666145,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:16:31.6328,Discrete,Sequence Success,2,2,4,8,NA,NA,NA,NA,0,9999401,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:16:33.0999,Discrete,InputWindowOver,2,2,5,8,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,13:16:54.0662,Discrete,KeyDown,2,2,5,9,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:16:54.2653,Discrete,KeyDown,2,2,5,9,r,Correct,R,0,19998,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:16:54.5651,Discrete,KeyDown,2,2,5,9,w,Correct,W,0,3000781,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:16:54.6659,Discrete,KeyDown,2,2,5,9,e,Correct,E,0,0999251,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:16:54.6659,Discrete,Sequence Success,2,2,5,9,NA,NA,NA,NA,0,5999832,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:16:56.7820,Discrete,InputWindowOver,2,2,5,9,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
2020-05-20,13:17:24.4817,Discrete,KeyDown,2,3,5,10,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:17:24.7479,Discrete,KeyDown,2,3,5,10,r,Correct,R,0,2666669,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:17:24.9817,Discrete,KeyDown,2,3,5,10,w,Correct,W,0,2332689,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:17:25.0647,Discrete,KeyDown,2,3,5,10,e,Correct,E,0,08337015,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:17:25.0647,Discrete,Sequence Success,2,3,5,10,NA,NA,NA,NA,0,5833059,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:17:26.8480,Discrete,InputWindowOver,2,3,6,10,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,13:17:50.9810,Discrete,KeyDown,2,2,6,11,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:17:51.2312,Discrete,KeyDown,2,2,6,11,r,Correct,R,0,2500005,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:17:51.4644,Discrete,KeyDown,2,2,6,11,w,Correct,W,0,2332618,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:17:51.5475,Discrete,KeyDown,2,2,6,11,e,Correct,E,0,08333606,NA,NA,NA,NA,NA,NA,NA,NA,
