Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,13:00:00.1712,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:02.9161,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:03.2270,Continuous,KeyDown,1,1,0,1,r,Correct,R,0,3166819,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:03.5262,Continuous,KeyDown,1,1,0,1,w,Correct,W,0,3001288,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:03.8932,Continuous,KeyDown,1,1,0,1,e,Correct,E,0,3665133,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:03.8942,Continuous,Sequence Success,1,1,0,1,NA,NA,NA,NA,0,9833241,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:04.5600,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:04.7431,Continuous,KeyDown,1,1,0,1,r,Correct,R,0,1834991,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:04.9429,Continuous,KeyDown,1,1,0,1,e,Failed,W,0,1998228,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:04.9429,Continuous,Sequence Failed,1,1,0,1,NA,NA,NA,NA,0,3833219,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:05.0600,Continuous,KeyDown,1,1,0,1,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:05.5267,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:05.7261,Continuous,KeyDown,1,1,0,1,w,Failed,R,0,1999492,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:05.7261,Continuous,Sequence Failed,1,1,0,1,NA,NA,NA,NA,0,1999492,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:06.2097,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:06.4928,Continuous,KeyDown,1,1,0,1,r,Correct,R,0,2833125,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:06.8760,Continuous,KeyDown,1,1,0,1,w,Correct,W,0,3833111,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:07.0601,Continuous,KeyDown,1,1,0,1,e,Correct,E,0,1833162,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:07.0601,Continuous,Sequence Success,1,1,0,1,NA,NA,NA,NA,0,8499398,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:07.3931,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:07.7090,Continuous,KeyDown,1,1,0,1,r,Correct,R,0,3168587,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:07.9600,Continuous,KeyDown,1,1,0,1,w,Correct,W,0,249729,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:08.1593,Continuous,KeyDown,1,1,0,1,e,Correct,E,0,2000787,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:08.1593,Continuous,Sequence Success,1,1,0,1,NA,NA,NA,NA,0,7666664,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:08.5099,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:08.6930,Continuous,KeyDown,1,1,0,1,r,Correct,R,0,1833899,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:08.8759,Continuous,KeyDown,1,1,0,1,w,Correct,W,0,1831843,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:09.0260,Continuous,KeyDown,1,1,0,1,e,Correct,E,0,1498703,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:09.0260,Continuous,Sequence Success,1,1,0,1,NA,NA,NA,NA,0,5164446,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:09.3602,Continuous,InputWindowOver,1,1,1,1,NA,NA,NA,NA,NA,4,2,1,6,Got Fish,NA,NA,
2020-05-20,13:01:33.3590,Continuous,KeyDown,1,1,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:33.7421,Continuous,KeyDown,1,1,1,2,w,Failed,R,0,3832836,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:33.7421,Continuous,Sequence Failed,1,1,1,2,NA,NA,NA,NA,0,3832836,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:34.6421,Continuous,KeyDown,1,1,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:34.8422,Continuous,KeyDown,1,1,1,2,r,Correct,R,0,2000288,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:35.0751,Continuous,KeyDown,1,1,1,2,w,Correct,W,0,2333775,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:35.1755,Continuous,KeyDown,1,1,1,2,e,Correct,E,0,1000527,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:35.1755,Continuous,Sequence Success,1,1,1,2,NA,NA,NA,NA,0,5334589,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:35.4920,Continuous,KeyDown,1,1,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:35.6924,Continuous,KeyDown,1,1,1,2,r,Correct,R,0,1999203,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:01:35.9252,Continuous,KeyDown,1,1,1,2,w,Correct,W,0,2334298,NA,NA,NA,NA,NA,NA,NA,NA,
