Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,PerceivedControl
2020-06-12,13:18:54.5979,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,13:19:16.5478,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,13:19:16.6288,Discrete,KeyDown,1,0,0,1,r,Correct,R,0.08453631,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,13:19:16.7388,Discrete,KeyDown,1,0,0,1,w,Correct,W,0.1104188,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,13:19:16.8362,Discrete,KeyDown,1,0,0,1,e,Correct,E,0.09674342,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,13:19:16.8372,Discrete,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.2916985,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,13:19:17.5400,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,13:19:17.6369,Discrete,KeyDown,1,0,0,1,r,Correct,R,0.0967737,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,13:19:17.7409,Discrete,KeyDown,1,0,0,1,w,Correct,W,0.103895,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,13:19:17.8279,Discrete,KeyDown,1,0,0,1,e,Correct,E,0.08749536,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,13:19:17.8289,Discrete,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.288164,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,13:19:18.3830,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,13:19:18.4650,Discrete,KeyDown,1,0,0,1,r,Correct,R,0.0826529,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,13:19:18.5480,Discrete,KeyDown,1,0,0,1,w,Correct,W,0.08159211,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,13:19:18.6550,Discrete,KeyDown,1,0,0,1,e,Correct,E,0.1069886,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,13:19:18.6550,Discrete,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.2712336,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,13:19:19.3117,Discrete,InputWindowOver,1,0,0,1,NA,NA,NA,NA,NA,3,0,3,3,Fish Escaped,NA,NA,
2020-06-12,13:19:36.9493,Discrete,KeyDown,1,1,0,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,13:19:37.0503,Discrete,KeyDown,1,1,0,2,r,Correct,R,0.1011955,NA,NA,NA,NA,NA,NA,NA,NA,
