Date,Timestamp,PlayerID,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish
2020-05-10,21:09:17.4594,Lilla Banan,Discrete,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-10,21:09:39.5309,Lilla Banan,Discrete,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,
2020-05-10,21:09:39.6238,Lilla Banan,Discrete,KeyDown,1,1,0,1,r,Correct,R,0.09715971,NA,NA,NA,NA,NA,NA,
2020-05-10,21:09:39.7768,Lilla Banan,Discrete,KeyDown,1,1,0,1,w,Correct,W,0.1523292,NA,NA,NA,NA,NA,NA,
2020-05-10,21:09:39.8638,Lilla Banan,Discrete,KeyDown,1,1,0,1,e,Correct,E,0.08696613,NA,NA,NA,NA,NA,NA,
2020-05-10,21:09:39.8648,Lilla Banan,Discrete,Sequence Success,1,1,0,1,NA,NA,NA,NA,0.336455,NA,NA,NA,NA,NA,
2020-05-10,21:09:41.3156,Lilla Banan,Discrete,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,
2020-05-10,21:09:41.3826,Lilla Banan,Discrete,KeyDown,1,1,0,1,r,Correct,R,0.0668649,NA,NA,NA,NA,NA,NA,
2020-05-10,21:09:41.5225,Lilla Banan,Discrete,KeyDown,1,1,0,1,w,Correct,W,0.1402862,NA,NA,NA,NA,NA,NA,
2020-05-10,21:09:41.5985,Lilla Banan,Discrete,KeyDown,1,1,0,1,e,Correct,E,0.07580286,NA,NA,NA,NA,NA,NA,
2020-05-10,21:09:41.5985,Lilla Banan,Discrete,Sequence Success,1,1,0,1,NA,NA,NA,NA,0.2829539,NA,NA,NA,NA,NA,
