Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
12/05/2020,09:06.0,Discrete,KeyDown,2,3,7,13,e,Correct,E,0.1029526,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,09:06.0,Discrete,Sequence Success,2,3,7,13,NA,NA,NA,NA,0.3493205,NA,NA,NA,NA,NA,NA,NA
12/05/2020,09:08.4,Discrete,InputWindowOver,2,3,8,13,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
12/05/2020,09:16.2,Discrete,Frustration Questionnaire,NA,NA,8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7
12/05/2020,09:44.8,Discrete,KeyDown,3,5,8,14,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,09:44.9,Discrete,KeyDown,3,5,8,14,r,Correct,R,0.0846472,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,09:45.0,Discrete,KeyDown,3,5,8,14,w,Correct,W,0.1239202,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,09:45.1,Discrete,KeyDown,3,5,8,14,e,Correct,E,0.1012667,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,09:45.1,Discrete,Sequence Success,3,5,8,14,NA,NA,NA,NA,0.3098341,NA,NA,NA,NA,NA,NA,NA
12/05/2020,09:45.9,Discrete,KeyDown,3,5,8,14,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,09:46.0,Discrete,KeyDown,3,5,8,14,r,Correct,R,0.08731849,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,09:46.1,Discrete,KeyDown,3,5,8,14,w,Correct,W,0.09207238,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,09:46.2,Discrete,KeyDown,3,5,8,14,e,Correct,E,0.09942359,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,09:46.2,Discrete,Sequence Success,3,5,8,14,NA,NA,NA,NA,0.2788145,NA,NA,NA,NA,NA,NA,NA
12/05/2020,09:47.5,Discrete,InputWindowOver,3,5,8,14,NA,NA,NA,NA,NA,2,0,2,2,Fish Escaped,NA,NA
12/05/2020,10:08.4,Discrete,KeyDown,3,5,8,15,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,10:08.5,Discrete,KeyDown,3,5,8,15,r,Correct,R,0.09671699,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,10:08.6,Discrete,KeyDown,3,5,8,15,w,Correct,W,0.1338252,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,10:08.7,Discrete,KeyDown,3,5,8,15,e,Correct,E,0.08488642,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,10:08.7,Discrete,Sequence Success,3,5,8,15,NA,NA,NA,NA,0.3154286,NA,NA,NA,NA,NA,NA,NA
12/05/2020,10:11.1,Discrete,InputWindowOver,3,5,9,15,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
12/05/2020,10:32.0,Discrete,KeyDown,3,4,9,16,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,10:32.1,Discrete,KeyDown,3,4,9,16,r,Correct,R,0.1038329,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,10:32.2,Discrete,KeyDown,3,4,9,16,w,Correct,W,0.1160249,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,10:32.3,Discrete,KeyDown,3,4,9,16,e,Correct,E,0.09661236,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,10:32.3,Discrete,Sequence Success,3,4,9,16,NA,NA,NA,NA,0.3164701,NA,NA,NA,NA,NA,NA,NA
12/05/2020,10:34.6,Discrete,InputWindowOver,3,4,9,16,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA
12/05/2020,10:53.4,Discrete,KeyDown,3,5,9,17,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,10:53.5,Discrete,KeyDown,3,5,9,17,r,Correct,R,0.0863626,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,10:53.6,Discrete,KeyDown,3,5,9,17,w,Correct,W,0.1300375,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,10:53.7,Discrete,KeyDown,3,5,9,17,e,Correct,E,0.09066869,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,10:53.7,Discrete,Sequence Success,3,5,9,17,NA,NA,NA,NA,0.3070688,NA,NA,NA,NA,NA,NA,NA
12/05/2020,10:56.1,Discrete,InputWindowOver,3,5,10,17,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
12/05/2020,11:18.0,Discrete,KeyDown,3,4,10,18,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,11:18.1,Discrete,KeyDown,3,4,10,18,r,Correct,R,0.0973554,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,11:18.2,Discrete,KeyDown,3,4,10,18,w,Correct,W,0.1327979,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,11:18.3,Discrete,KeyDown,3,4,10,18,e,Correct,E,0.1072633,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,11:18.3,Discrete,Sequence Success,3,4,10,18,NA,NA,NA,NA,0.3374166,NA,NA,NA,NA,NA,NA,NA
12/05/2020,11:20.9,Discrete,InputWindowOver,3,4,10,18,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA
12/05/2020,11:39.1,Discrete,KeyDown,3,4,10,19,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,11:39.2,Discrete,KeyDown,3,4,10,19,r,Correct,R,0.09537069,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,11:39.3,Discrete,KeyDown,3,4,10,19,w,Correct,W,0.1229598,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,11:39.4,Discrete,KeyDown,3,4,10,19,e,Correct,E,0.08963332,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,11:39.4,Discrete,Sequence Success,3,4,10,19,NA,NA,NA,NA,0.3079638,NA,NA,NA,NA,NA,NA,NA
12/05/2020,11:41.9,Discrete,InputWindowOver,3,4,11,19,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
12/05/2020,12:03.1,Discrete,KeyDown,3,4,11,20,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,12:03.2,Discrete,KeyDown,3,4,11,20,r,Correct,R,0.09425251,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,12:03.4,Discrete,KeyDown,3,4,11,20,w,Correct,W,0.1451623,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,12:03.5,Discrete,KeyDown,3,4,11,20,e,Correct,E,0.1139986,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,12:03.5,Discrete,Sequence Success,3,4,11,20,NA,NA,NA,NA,0.3534134,NA,NA,NA,NA,NA,NA,NA
12/05/2020,12:05.7,Discrete,InputWindowOver,3,4,12,20,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
12/05/2020,12:12.6,Discrete,Frustration Questionnaire,NA,NA,12,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
