Date,Timestamp,PlayerID,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish
2020-05-11,10:11:36.7136,Lilla Banan,Discrete,Sequence Success,2,3,4,6,NA,NA,NA,NA,0.2786136,NA,NA,NA,NA,NA,
2020-05-11,10:11:37.5364,Lilla Banan,Discrete,InputWindowOver,2,3,4,6,NA,NA,NA,NA,NA,2,0,2,2,Fish Escaped,
2020-05-11,10:11:55.7320,Lilla Banan,Discrete,KeyDown,2,3,4,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,
2020-05-11,10:11:55.8339,Lilla Banan,Discrete,KeyDown,2,3,4,7,r,Correct,R,0.1037578,NA,NA,NA,NA,NA,NA,
2020-05-11,10:11:55.9619,Lilla Banan,Discrete,KeyDown,2,3,4,7,w,Correct,W,0.1262847,NA,NA,NA,NA,NA,NA,
2020-05-11,10:11:56.0578,Lilla Banan,Discrete,KeyDown,2,3,4,7,e,Correct,E,0.09623869,NA,NA,NA,NA,NA,NA,
2020-05-11,10:11:56.0578,Lilla Banan,Discrete,Sequence Success,2,3,4,7,NA,NA,NA,NA,0.3262812,NA,NA,NA,NA,NA,
2020-05-11,10:11:58.4794,Lilla Banan,Discrete,InputWindowOver,2,3,5,7,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,
2020-05-11,10:12:17.8569,Lilla Banan,Discrete,KeyDown,2,3,5,8,t,Correct,T,0,NA,NA,NA,NA,NA,NA,
2020-05-11,10:12:17.9536,Lilla Banan,Discrete,KeyDown,2,3,5,8,r,Correct,R,0.0967394,NA,NA,NA,NA,NA,NA,
2020-05-11,10:12:18.0935,Lilla Banan,Discrete,KeyDown,2,3,5,8,w,Correct,W,0.1404903,NA,NA,NA,NA,NA,NA,
2020-05-11,10:12:18.1895,Lilla Banan,Discrete,KeyDown,2,3,5,8,e,Correct,E,0.09567703,NA,NA,NA,NA,NA,NA,
2020-05-11,10:12:18.1895,Lilla Banan,Discrete,Sequence Success,2,3,5,8,NA,NA,NA,NA,0.3329068,NA,NA,NA,NA,NA,
2020-05-11,10:12:20.4794,Lilla Banan,Discrete,InputWindowOver,2,3,6,8,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,
2020-05-11,10:12:39.1425,Lilla Banan,Discrete,KeyDown,2,2,6,9,t,Correct,T,0,NA,NA,NA,NA,NA,NA,
2020-05-11,10:12:39.2425,Lilla Banan,Discrete,KeyDown,2,2,6,9,r,Correct,R,0.1002373,NA,NA,NA,NA,NA,NA,
2020-05-11,10:12:39.3595,Lilla Banan,Discrete,KeyDown,2,2,6,9,w,Correct,W,0.1163432,NA,NA,NA,NA,NA,NA,
2020-05-11,10:12:39.4544,Lilla Banan,Discrete,KeyDown,2,2,6,9,e,Correct,E,0.09634654,NA,NA,NA,NA,NA,NA,
2020-05-11,10:12:39.4544,Lilla Banan,Discrete,Sequence Success,2,2,6,9,NA,NA,NA,NA,0.312927,NA,NA,NA,NA,NA,
2020-05-11,10:12:40.2943,Lilla Banan,Discrete,KeyDown,2,2,6,9,t,Correct,T,0,NA,NA,NA,NA,NA,NA,
2020-05-11,10:12:40.4452,Lilla Banan,Discrete,KeyDown,2,2,6,9,w,Failed,R,0.151081,NA,NA,NA,NA,NA,NA,
2020-05-11,10:12:40.4452,Lilla Banan,Discrete,Sequence Failed,2,2,6,9,NA,NA,NA,NA,0.151081,NA,NA,NA,NA,NA,
2020-05-11,10:12:40.5272,Lilla Banan,Discrete,KeyDown,2,2,6,9,e,Failed,T,0,NA,NA,NA,NA,NA,NA,
