Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-12,11:21:14.8117,Discrete,Sequence Success,1,0,3,7,NA,NA,NA,NA,0,4783676,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:21:16.9038,Discrete,InputWindowOver,1,0,3,7,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
2020-05-12,11:21:35.0015,Discrete,KeyDown,1,0,3,8,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:21:35.1196,Discrete,KeyDown,1,0,3,8,r,Correct,R,0,1186717,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:21:35.3786,Discrete,KeyDown,1,0,3,8,w,Correct,W,0,2587309,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:21:35.4718,Discrete,KeyDown,1,0,3,8,e,Correct,E,0,09128815,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:21:35.4718,Discrete,Sequence Success,1,0,3,8,NA,NA,NA,NA,0,4686908,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:21:37.7015,Discrete,InputWindowOver,1,0,4,8,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-12,11:21:42.9095,Discrete,Frustration Questionnaire,NA,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,
2020-05-12,11:22:04.3656,Discrete,KeyDown,2,2,4,9,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:22:04.4533,Discrete,KeyDown,2,2,4,9,e,Failed,T,0,0886142,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:22:05.3124,Discrete,KeyDown,2,2,4,9,t,Correct,T,0,8608599,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:22:05.4022,Discrete,KeyDown,2,2,4,9,r,Correct,R,0,09150147,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:22:05.5855,Discrete,KeyDown,2,2,4,9,w,Correct,W,0,1826295,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:22:05.7111,Discrete,KeyDown,2,2,4,9,e,Correct,E,0,1206015,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:22:05.7111,Discrete,Sequence Success,2,2,4,9,NA,NA,NA,NA,1,344207,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:22:07.0827,Discrete,InputWindowOver,2,2,5,9,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-12,11:22:26.1824,Discrete,KeyDown,2,2,5,10,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:22:26.3107,Discrete,KeyDown,2,2,5,10,r,Correct,R,0,1299354,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:22:26.5245,Discrete,KeyDown,2,2,5,10,w,Correct,W,0,2125686,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:22:26.6336,Discrete,KeyDown,2,2,5,10,e,Correct,E,0,1121032,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:22:26.6336,Discrete,Sequence Success,2,2,5,10,NA,NA,NA,NA,0,4546072,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:22:28.9026,Discrete,InputWindowOver,2,2,5,10,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
2020-05-12,11:22:49.2675,Discrete,KeyDown,2,2,5,11,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:22:49.3696,Discrete,KeyDown,2,2,5,11,r,Correct,R,0,1020109,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:22:49.5725,Discrete,KeyDown,2,2,5,11,w,Correct,W,0,2025425,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:22:49.6697,Discrete,KeyDown,2,2,5,11,e,Correct,E,0,09509769,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:22:49.6697,Discrete,Sequence Success,2,2,5,11,NA,NA,NA,NA,0,3996511,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:22:51.8615,Discrete,InputWindowOver,2,2,6,11,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-12,11:23:10.8138,Discrete,KeyDown,2,3,6,12,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:23:10.9231,Discrete,KeyDown,2,3,6,12,r,Correct,R,0,1081958,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:23:11.1827,Discrete,KeyDown,2,3,6,12,w,Correct,W,0,25164,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:23:11.3045,Discrete,KeyDown,2,3,6,12,e,Correct,E,0,1263995,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:23:11.3045,Discrete,Sequence Success,2,3,6,12,NA,NA,NA,NA,0,4862353,NA,NA,NA,NA,NA,NA,NA,
