Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-12,11:13:51.2979,Continuous,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:14:12.7652,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:14:12.8502,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.0882796,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:14:12.9612,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.1114043,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:14:13.0461,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.08463961,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:14:13.0471,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.2843235,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:14:18.9123,Continuous,InputWindowOver,1,0,0,1,NA,NA,NA,NA,NA,1,0,0,1,Fish Escaped,NA,NA,
2020-05-12,11:14:45.3700,Continuous,InputWindowOver,1,0,0,2,NA,NA,NA,NA,NA,0,0,0,0,Fish Escaped,NA,NA,
2020-05-12,11:15:11.0409,Continuous,KeyDown,1,1,0,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:15:16.9891,Continuous,Sequence Failed,1,1,0,3,NA,NA,NA,NA,5.950473,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:15:16.9901,Continuous,InputWindowOver,1,1,0,3,NA,NA,NA,NA,NA,0,1,0,1,Fish Escaped,NA,NA,
