Date,Timestamp,Event,currentCondition,PlayerID,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,GotFish,CorrectSequencesEntered,SequencesFailed,TotalAttemptsInBubble
2020-05-08,16:46:20.7460,Game Started!,Discrete,Lilla Banan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-08,16:46:47.3876,InputWindowOver,Discrete,Lilla Banan,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-08,16:47:10.9670,InputWindowOver,Discrete,Lilla Banan,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-08,16:47:36.7630,InputWindowOver,Discrete,Lilla Banan,1,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-08,16:48:02.2656,InputWindowOver,Discrete,Lilla Banan,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-08,16:48:25.4834,InputWindowOver,Discrete,Lilla Banan,1,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-08,16:48:48.6459,InputWindowOver,Discrete,Lilla Banan,1,1,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-08,16:49:14.7680,InputWindowOver,Discrete,Lilla Banan,1,1,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-08,16:49:44.8669,InputWindowOver,Discrete,Lilla Banan,2,2,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,
