Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-12,22:14:19.6001,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:41.9774,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:42.0544,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.08131019,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:42.2204,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.1656159,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:42.3143,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.09377389,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:42.3153,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.3407,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:43.1081,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:43.1970,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.0898916,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:43.3170,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.1204015,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:43.3940,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.07545225,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:43.3940,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.2857454,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:44.2233,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:44.3133,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.0905649,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:44.3972,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.08398748,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:44.4832,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.08473939,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:44.4832,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.2592918,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:45.1280,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:45.2020,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.07517821,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:45.3279,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.1251479,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:45.4169,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.08861843,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:45.4169,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.2889445,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:45.9624,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:46.0564,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.0936777,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,22:14:46.1743,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.1159501,NA,NA,NA,NA,NA,NA,NA,NA,
