Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration
2020-06-12,12:44:53.6431,Discrete,KeyDown,1,1,1,4,r,Correct,R,0.08360561,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:53.7747,Discrete,KeyDown,1,1,1,4,w,Correct,W,0.1319048,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:53.8606,Discrete,KeyDown,1,1,1,4,e,Correct,E,0.08579943,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:53.8606,Discrete,Sequence Success,1,1,1,4,NA,NA,NA,NA,0.3013099,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:54.4474,Discrete,KeyDown,1,1,1,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:54.5234,Discrete,KeyDown,1,1,1,4,r,Correct,R,0.07731681,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:54.6254,Discrete,KeyDown,1,1,1,4,w,Correct,W,0.1011171,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:54.6944,Discrete,KeyDown,1,1,1,4,e,Correct,E,0.06906751,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:54.6944,Discrete,Sequence Success,1,1,1,4,NA,NA,NA,NA,0.2475014,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:56.3604,Discrete,InputWindowOver,1,1,2,4,NA,NA,NA,NA,NA,2,0,1,2,Got Fish,NA,
2020-06-12,12:45:16.2687,Discrete,KeyDown,1,1,2,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:16.3757,Discrete,KeyDown,1,1,2,5,r,Correct,R,0.1090671,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:16.4976,Discrete,KeyDown,1,1,2,5,w,Correct,W,0.1226794,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:16.5786,Discrete,KeyDown,1,1,2,5,e,Correct,E,0.08045059,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:16.5786,Discrete,Sequence Success,1,1,2,5,NA,NA,NA,NA,0.3121971,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:17.1934,Discrete,KeyDown,1,1,2,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:17.2894,Discrete,KeyDown,1,1,2,5,r,Correct,R,0.09582841,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:17.3913,Discrete,KeyDown,1,1,2,5,w,Correct,W,0.1026841,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:17.4653,Discrete,KeyDown,1,1,2,5,e,Correct,E,0.07278445,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:17.4653,Discrete,Sequence Success,1,1,2,5,NA,NA,NA,NA,0.271297,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:19.1033,Discrete,InputWindowOver,1,1,2,5,NA,NA,NA,NA,NA,2,0,2,2,Fish Escaped,NA,
2020-06-12,12:45:39.0714,Discrete,KeyDown,1,0,2,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:39.1734,Discrete,KeyDown,1,0,2,6,r,Correct,R,0.1030909,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:39.3073,Discrete,KeyDown,1,0,2,6,w,Correct,W,0.1330981,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:39.3953,Discrete,KeyDown,1,0,2,6,e,Correct,E,0.08743708,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:39.3953,Discrete,Sequence Success,1,0,2,6,NA,NA,NA,NA,0.3236261,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:41.7601,Discrete,InputWindowOver,1,0,3,6,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,
2020-06-12,12:45:58.5488,Discrete,KeyDown,1,1,3,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:58.6448,Discrete,KeyDown,1,1,3,7,r,Correct,R,0.09618531,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:58.7567,Discrete,KeyDown,1,1,3,7,w,Correct,W,0.1116542,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:58.8437,Discrete,KeyDown,1,1,3,7,e,Correct,E,0.08618568,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:58.8437,Discrete,Sequence Success,1,1,3,7,NA,NA,NA,NA,0.2940252,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:59.4853,Discrete,KeyDown,1,1,3,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:59.5843,Discrete,KeyDown,1,1,3,7,r,Correct,R,0.0999812,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:59.6713,Discrete,KeyDown,1,1,3,7,w,Correct,W,0.08430181,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:59.7683,Discrete,KeyDown,1,1,3,7,e,Correct,E,0.09948146,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:45:59.7683,Discrete,Sequence Success,1,1,3,7,NA,NA,NA,NA,0.2837645,NA,NA,NA,NA,NA,NA,
2020-06-12,12:46:00.3841,Discrete,KeyDown,1,1,3,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:46:00.4890,Discrete,KeyDown,1,1,3,7,r,Correct,R,0.1056558,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:46:00.5870,Discrete,KeyDown,1,1,3,7,w,Correct,W,0.09733783,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:46:00.6790,Discrete,KeyDown,1,1,3,7,e,Correct,E,0.09239131,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:46:00.6790,Discrete,Sequence Success,1,1,3,7,NA,NA,NA,NA,0.2953849,NA,NA,NA,NA,NA,NA,
2020-06-12,12:46:01.1818,Discrete,InputWindowOver,1,1,3,7,NA,NA,NA,NA,NA,3,0,3,3,Fish Escaped,NA,
2020-06-12,12:46:18.1840,Discrete,KeyDown,1,1,3,8,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:46:18.3269,Discrete,KeyDown,1,1,3,8,r,Correct,R,0.1457161,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:46:18.4389,Discrete,KeyDown,1,1,3,8,w,Correct,W,0.1132564,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:46:18.5499,Discrete,KeyDown,1,1,3,8,e,Correct,E,0.1113279,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:46:18.5499,Discrete,Sequence Success,1,1,3,8,NA,NA,NA,NA,0.3703004,NA,NA,NA,NA,NA,NA,
2020-06-12,12:46:21.0614,Discrete,InputWindowOver,1,1,4,8,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,
2020-06-12,12:46:23.3386,Discrete,Frustration Questionnaire,NA,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,
