Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,PerceivedControl
2020-06-12,14:25:03.2684,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:25:25.2216,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:25:25.3095,Discrete,KeyDown,1,0,0,1,r,Correct,R,0.0910126,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:25:25.4245,Discrete,KeyDown,1,0,0,1,w,Correct,W,0.1139699,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:25:25.5345,Discrete,KeyDown,1,0,0,1,e,Correct,E,0.1100907,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:25:25.5355,Discrete,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.3150733,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:25:26.3092,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:25:26.4252,Discrete,KeyDown,1,0,0,1,r,Correct,R,0.1161742,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:25:26.5012,Discrete,KeyDown,1,0,0,1,w,Correct,W,0.07332598,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:25:26.5961,Discrete,KeyDown,1,0,0,1,e,Correct,E,0.09778379,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:25:26.5971,Discrete,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.287284,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:25:27.8692,Discrete,InputWindowOver,1,0,0,1,NA,NA,NA,NA,NA,2,0,2,2,Fish Escaped,NA,NA,
