Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,PerceivedControl
2020-06-12,14:13:30.1161,Discrete,KeyDown,1,1,2,4,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:30.3003,Discrete,KeyDown,1,1,2,4,w,Failed,T,0.1842036,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:30.3893,Discrete,KeyDown,1,1,2,4,e,Failed,T,0.08792326,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:30.3893,Discrete,Sequence Failed,1,1,2,4,NA,NA,NA,NA,0.2721269,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:31.1813,Discrete,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:31.2820,Discrete,KeyDown,1,1,2,4,r,Correct,R,0.1012151,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:31.3955,Discrete,KeyDown,1,1,2,4,w,Correct,W,0.1139275,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:31.4869,Discrete,KeyDown,1,1,2,4,e,Correct,E,0.09043784,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:31.4869,Discrete,Sequence Success,1,1,2,4,NA,NA,NA,NA,0.3055804,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:32.9418,Discrete,InputWindowOver,1,1,2,4,NA,NA,NA,NA,NA,1,1,1,2,Fish Escaped,NA,NA,
2020-06-12,14:13:50.5736,Discrete,KeyDown,1,0,2,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:50.6960,Discrete,KeyDown,1,0,2,5,r,Correct,R,0.122644,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:50.8509,Discrete,KeyDown,1,0,2,5,w,Correct,W,0.1557237,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:50.9516,Discrete,KeyDown,1,0,2,5,e,Correct,E,0.09917518,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:50.9516,Discrete,Sequence Success,1,0,2,5,NA,NA,NA,NA,0.3775429,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:51.5354,Discrete,KeyDown,1,0,2,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:51.6323,Discrete,KeyDown,1,0,2,5,r,Correct,R,0.1038312,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:53.2232,Discrete,InputWindowOver,1,0,3,5,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-06-12,14:14:10.7053,Discrete,KeyDown,1,1,3,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:14:10.8062,Discrete,KeyDown,1,1,3,6,r,Correct,R,0.1014236,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:14:10.9572,Discrete,KeyDown,1,1,3,6,w,Correct,W,0.1509784,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:14:11.0482,Discrete,KeyDown,1,1,3,6,e,Correct,E,0.09036288,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:14:11.0482,Discrete,Sequence Success,1,1,3,6,NA,NA,NA,NA,0.3427649,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:14:11.7226,Discrete,KeyDown,1,1,3,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:14:11.8026,Discrete,KeyDown,1,1,3,6,r,Correct,R,0.0800082,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:14:13.4046,Discrete,InputWindowOver,1,1,4,6,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-06-12,14:14:16.8770,Discrete,Frustration Questionnaire,NA,NA,4,6,NA,NA,NA,NA,NA,6,1,2,7,NA,4,NA,
