Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,PerceivedControl
2020-06-12,14:12:02.0641,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:12:23.4489,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:12:23.5239,Discrete,KeyDown,1,0,0,1,r,Correct,R,0.0783364,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:12:23.7238,Discrete,KeyDown,1,0,0,1,w,Correct,W,0.2001959,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:12:23.8188,Discrete,KeyDown,1,0,0,1,e,Correct,E,0.0946624,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:12:23.8188,Discrete,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.3731947,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:12:26.2056,Discrete,InputWindowOver,1,0,0,1,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
2020-06-12,14:12:43.7145,Discrete,KeyDown,1,1,0,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:12:43.8255,Discrete,KeyDown,1,1,0,2,r,Correct,R,0.1111384,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:12:43.9564,Discrete,KeyDown,1,1,0,2,w,Correct,W,0.1291588,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:12:44.0414,Discrete,KeyDown,1,1,0,2,e,Correct,E,0.08611284,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:12:44.0414,Discrete,Sequence Success,1,1,0,2,NA,NA,NA,NA,0.3264101,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:12:46.4846,Discrete,InputWindowOver,1,1,1,2,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-06-12,14:13:06.8553,Discrete,KeyDown,1,0,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:06.9433,Discrete,KeyDown,1,0,1,3,r,Correct,R,0.0887783,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:07.0862,Discrete,KeyDown,1,0,1,3,w,Correct,W,0.1393677,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:07.1782,Discrete,KeyDown,1,0,1,3,e,Correct,E,0.09532185,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:07.1782,Discrete,Sequence Success,1,0,1,3,NA,NA,NA,NA,0.3234679,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,14:13:09.5241,Discrete,InputWindowOver,1,0,2,3,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
