Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,13:50:58.3589,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:52:57.5970,Discrete,KeyDown,1,0,0,1,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:52:57.7642,Discrete,KeyDown,1,0,0,1,w,Failed,T,0,1736762,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:52:58.0562,Discrete,KeyDown,1,0,0,1,e,Failed,T,0,2916952,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:52:58.0572,Discrete,Sequence Failed,1,0,0,1,NA,NA,NA,NA,0,4653714,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:52:58.2007,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:52:58.4578,Discrete,KeyDown,1,0,0,1,r,Correct,R,0,2572241,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:52:59.2148,Discrete,KeyDown,1,0,0,1,t,Correct,W,0,7567943,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:52:59.5479,Discrete,KeyDown,1,0,0,1,r,Correct,R,0,3332301,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:52:59.6939,Discrete,KeyDown,1,0,0,1,w,Correct,W,0,1458956,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:52:59.9788,Discrete,KeyDown,1,0,0,1,t,Correct,E,0,2846104,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:00.1310,Discrete,KeyDown,1,0,0,1,e,Failed,R,0,1527475,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:00.1310,Discrete,Sequence Failed,1,0,0,1,NA,NA,NA,NA,1,930502,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:00.5836,Discrete,InputWindowOver,1,0,0,1,NA,NA,NA,NA,NA,0,2,0,2,Fish Escaped,NA,NA,
2020-05-20,13:53:26.7995,Discrete,KeyDown,1,1,0,2,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:26.9658,Discrete,KeyDown,1,1,0,2,w,Failed,T,0,1669736,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:27.2502,Discrete,KeyDown,1,1,0,2,e,Failed,T,0,2846466,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:27.2502,Discrete,Sequence Failed,1,1,0,2,NA,NA,NA,NA,0,4516202,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:29.5222,Discrete,InputWindowOver,1,1,0,2,NA,NA,NA,NA,NA,0,1,0,1,Fish Escaped,NA,NA,
2020-05-20,13:53:51.7101,Discrete,KeyDown,1,0,0,3,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:51.8768,Discrete,KeyDown,1,0,0,3,w,Failed,T,0,166571,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:52.3074,Discrete,KeyDown,1,0,0,3,e,Failed,T,0,4306687,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:52.3074,Discrete,Sequence Failed,1,0,0,3,NA,NA,NA,NA,0,5972397,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:52.5506,Discrete,KeyDown,1,0,0,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:52.7658,Discrete,KeyDown,1,0,0,3,r,Correct,R,0,2152069,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:52.9047,Discrete,KeyDown,1,0,0,3,w,Correct,W,0,1390561,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:53.1760,Discrete,KeyDown,1,0,0,3,e,Correct,E,0,2708026,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:53.1760,Discrete,Sequence Success,1,0,0,3,NA,NA,NA,NA,0,6250656,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:53.4470,Discrete,KeyDown,1,0,0,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:53.6544,Discrete,KeyDown,1,0,0,3,r,Correct,R,0,2083319,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:53.8348,Discrete,KeyDown,1,0,0,3,w,Correct,W,0,1806802,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:54.0994,Discrete,KeyDown,1,0,0,3,e,Correct,E,0,2637924,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:54.0994,Discrete,Sequence Success,1,0,0,3,NA,NA,NA,NA,0,6528044,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:53:54.4470,Discrete,InputWindowOver,1,0,1,3,NA,NA,NA,NA,NA,2,1,1,3,Got Fish,NA,NA,
2020-05-20,13:54:22.3785,Discrete,KeyDown,1,1,1,4,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:22.6283,Discrete,KeyDown,1,1,1,4,e,Failed,T,0,250138,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:22.8438,Discrete,KeyDown,1,1,1,4,t,Correct,T,0,2152452,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:23.0516,Discrete,KeyDown,1,1,1,4,r,Correct,R,0,2081349,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:23.2053,Discrete,KeyDown,1,1,1,4,w,Correct,W,0,1529529,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:23.4546,Discrete,KeyDown,1,1,1,4,e,Correct,E,0,2500764,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:23.4546,Discrete,Sequence Success,1,1,1,4,NA,NA,NA,NA,1,076547,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:23.7259,Discrete,KeyDown,1,1,1,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:23.9480,Discrete,KeyDown,1,1,1,4,r,Correct,R,0,2221471,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:24.1774,Discrete,KeyDown,1,1,1,4,w,Correct,W,0,2293726,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:24.4473,Discrete,KeyDown,1,1,1,4,e,Correct,E,0,270683,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:24.4473,Discrete,Sequence Success,1,1,1,4,NA,NA,NA,NA,0,7222027,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:25.1426,Discrete,InputWindowOver,1,1,2,4,NA,NA,NA,NA,NA,2,0,1,2,Got Fish,NA,NA,
2020-05-20,13:54:49.7406,Discrete,KeyDown,1,0,2,5,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:50.5882,Discrete,KeyDown,1,0,2,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:50.7828,Discrete,KeyDown,1,0,2,5,w,Failed,R,0,1942255,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:50.7828,Discrete,Sequence Failed,1,0,2,5,NA,NA,NA,NA,0,1942255,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:50.9348,Discrete,KeyDown,1,0,2,5,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:51.0958,Discrete,KeyDown,1,0,2,5,e,Failed,T,0,1596309,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:51.4069,Discrete,KeyDown,1,0,2,5,t,Correct,T,0,3123798,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:54:51.5741,Discrete,KeyDown,1,0,2,5,w,Failed,R,0,1668202,NA,NA,NA,NA,NA,NA,NA,NA,
