Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration,
20/05/2020,43:43.8,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20/05/2020,44:35.5,Discrete,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
20/05/2020,44:35.7,Discrete,KeyDown,1,1,0,1,r,Correct,R,0,2332396,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,44:36.1,Discrete,KeyDown,1,1,0,1,w,Correct,W,0,3834429,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,44:36.3,Discrete,KeyDown,1,1,0,1,e,Correct,E,0,2333242,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,44:36.3,Discrete,Sequence Success,1,1,0,1,NA,NA,NA,NA,0,8500066,NA,NA,NA,NA,NA,NA,NA
20/05/2020,44:37.8,Discrete,InputWindowOver,1,1,0,1,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
20/05/2020,44:59.9,Discrete,KeyDown,1,1,0,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
20/05/2020,45:00.1,Discrete,KeyDown,1,1,0,2,r,Correct,R,0,2000303,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,45:00.3,Discrete,KeyDown,1,1,0,2,w,Correct,W,0,2499062,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,45:00.5,Discrete,KeyDown,1,1,0,2,e,Correct,E,0,1500268,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,45:00.5,Discrete,Sequence Success,1,1,0,2,NA,NA,NA,NA,0,5999633,NA,NA,NA,NA,NA,NA,NA
20/05/2020,45:02.4,Discrete,InputWindowOver,1,1,1,2,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
20/05/2020,45:22.0,Discrete,KeyDown,1,1,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
20/05/2020,45:22.3,Discrete,KeyDown,1,1,1,3,r,Correct,R,0,2498587,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,45:22.5,Discrete,KeyDown,1,1,1,3,w,Correct,W,0,2500398,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,45:22.7,Discrete,KeyDown,1,1,1,3,e,Correct,E,0,2001134,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,45:22.7,Discrete,Sequence Success,1,1,1,3,NA,NA,NA,NA,0,700012,NA,NA,NA,NA,NA,NA,NA
20/05/2020,45:24.5,Discrete,InputWindowOver,1,1,1,3,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
20/05/2020,45:44.5,Discrete,KeyDown,1,1,1,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
20/05/2020,45:44.7,Discrete,KeyDown,1,1,1,4,r,Correct,R,0,216737,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,45:45.0,Discrete,KeyDown,1,1,1,4,w,Correct,W,0,250054,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,45:45.2,Discrete,KeyDown,1,1,1,4,e,Correct,E,0,1999445,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,45:45.2,Discrete,Sequence Success,1,1,1,4,NA,NA,NA,NA,0,6667355,NA,NA,NA,NA,NA,NA,NA
20/05/2020,45:46.7,Discrete,InputWindowOver,1,1,2,4,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
20/05/2020,46:11.7,Discrete,KeyDown,1,0,2,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
20/05/2020,46:11.9,Discrete,KeyDown,1,0,2,5,r,Correct,R,0,1832818,NA,NA,NA,NA,NA,NA,NA,NA
20/05/2020,46:12.3,Discrete,KeyDown,1,0,2,5,w,Correct,W,0,4834084,NA,NA,NA,NA,NA,NA,NA,NA
