Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,18:30:23.0459,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:28.0855,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:28.4483,Continuous,KeyDown,1,1,0,1,r,Correct,R,0,3668078,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:28.8745,Continuous,KeyDown,1,1,0,1,e,Failed,W,0,4832398,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:28.8755,Continuous,Sequence Failed,1,1,0,1,NA,NA,NA,NA,0,8500476,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:29.7423,Continuous,KeyDown,1,1,0,1,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:30.2074,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:30.7914,Continuous,KeyDown,1,1,0,1,w,Failed,R,0,583358,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:30.7914,Continuous,Sequence Failed,1,1,0,1,NA,NA,NA,NA,0,583358,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:32.2242,Continuous,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:32.4247,Continuous,KeyDown,1,1,0,1,r,Correct,R,0,2000609,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:32.8743,Continuous,KeyDown,1,1,0,1,w,Correct,W,0,4500592,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:32.8914,Continuous,Sequence Failed,1,1,0,1,NA,NA,NA,NA,0,6669539,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:32.8923,Continuous,InputWindowOver,1,1,0,1,NA,NA,NA,NA,NA,0,3,0,3,Fish Escaped,NA,NA,
2020-05-20,18:31:55.7090,Continuous,KeyDown,1,1,0,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:56.6079,Continuous,KeyDown,1,1,0,2,r,Correct,R,0,900001,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:57.2249,Continuous,KeyDown,1,1,0,2,w,Correct,W,0,6167966,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:57.8467,Continuous,KeyDown,1,1,0,2,e,Correct,E,0,5999062,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:57.8467,Continuous,Sequence Success,1,1,0,2,NA,NA,NA,NA,2,116704,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,18:31:58.5250,Continuous,KeyDown,1,1,0,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
